,UTI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.91,-674.43,Valuation,-0.016176623222573138
Price/Sales (TTM),0.61,3.81,Valuation,0.1601049868766404
Price/Book (MRQ),1.16,2.94,Valuation,0.3945578231292517
"PEG Ratio (TTM, GAAP)",,-5.1,Valuation,
Gross Profit Margin (TTM),0.7702,0.30350000000000005,Profitability,2.537726523887973
Operating Profit Margin (TTM),0.0781,0.047,Profitability,1.6617021276595745
Net Profit Margin (TTM),0.0864,0.024900000000000002,Profitability,3.4698795180722892
Annual Dividend Yield,,0.0049,Dividend,
Dividend Change %,,0.015500000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.013000000000000001,Dividend,
EPS Growth (MRQ),-1.1111,-8.9082,Gowth rates,0.124727778900339
EPS Growth (TTM),5.1657,1.3234000000000001,Gowth rates,3.9033549947105937
Revenue Growth (MRQ),-0.011000000000000001,0.0315,Gowth rates,-0.34920634920634924
Revenue Growth (TTM),0.292,0.1202,Gowth rates,2.429284525790349
Return On Equity (TTM),0.1161,0.0073,Effectiveness,15.904109589041095
Return On Assets (TTM),0.06910000000000001,-0.0022,Effectiveness,-31.40909090909091
Return On Investment (TTM),0.0906,0.005699999999999999,Effectiveness,15.894736842105265
Revenue Per Employee (TTM),244342.0,227358.0,Effectiveness,1.074701571970197
Total Debt/Total Capital (MRQ),0.2425,0.5721,Financial strength,0.42387694459010655
Change in Debt/Total Capital Quarter over Quarter,0.0092,0.001,Financial strength,9.2
Quick Ratio (MRQ),,0.56,Financial strength,
Interest Coverage (MRQ),4.24,2.57,Financial strength,1.6498054474708173
