,LGND,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),5.15,45.03,Valuation,0.1143681989784588
Price/Book (MRQ),1.52,12.61,Valuation,0.12053925455987312
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.8212999999999999,0.5874,Profitability,1.39819543752128
Operating Profit Margin (TTM),0.0323,-4.7459,Profitability,-0.00680587454434354
Net Profit Margin (TTM),-0.08810000000000001,-4.5467,Profitability,0.019376690786724438
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),1.4444,-0.0014000000000000002,Gowth rates,-1031.7142857142856
EPS Growth (TTM),-1.3171000000000002,0.027200000000000002,Gowth rates,-48.42279411764706
Revenue Growth (MRQ),0.151,1.3963999999999999,Gowth rates,0.10813520481237468
Revenue Growth (TTM),-0.1201,0.9747,Gowth rates,-0.12321740022571047
Return On Equity (TTM),-0.0262,0.1967,Effectiveness,-0.1331977630910015
Return On Assets (TTM),-0.0183,0.0016,Effectiveness,-11.4375
Return On Investment (TTM),-0.0198,0.0219,Effectiveness,-0.904109589041096
Revenue Per Employee (TTM),1569305.0,1476201.0,Effectiveness,1.0630700019848245
Total Debt/Total Capital (MRQ),0.0858,0.4675,Financial strength,0.18352941176470589
Change in Debt/Total Capital Quarter over Quarter,-0.0070999999999999995,0.0036,Financial strength,-1.972222222222222
Quick Ratio (MRQ),1.46,2.06,Financial strength,0.7087378640776699
Interest Coverage (MRQ),0.96,2.69,Financial strength,0.35687732342007433
