,ANSS
% Above Low,0.2688
% Held by Institutions,0.9459000000000001
52-Wk Range,['194.23 - 413.22']
Annual Dividend $,
Annual Dividend %,
Ask,259.24
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,228.9
Bid Size,100.0
Closing Price,246.44
Day Change $,-0.52
Day Change %,-0.0021
Day High,247.48
Day Low,244.79
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.34
Ex-dividend Date,No dividend
Historical Volatility,0.413
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,21.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",46.13
Prev Close,246.96
Short Interest,0.012
Today's Open,244.79
Volume,223954.0
Volume 10-day Avg,515185.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.0814285714285714
Growth 1yr High Est,0.07827260458839413
Growth 1yr Consensus Est,0.07985058800848277
Growth 2yr Low Est,0.06449235704849965
Growth 2yr High Est,0.08606996937805189
Growth 2yr Consensus Est,0.07528116321327577
Growth 5yr Low Est,0.06224617852424985
Growth 5yr High Est,0.08522741371110798
Growth 5yr Consensus Est,0.07373679611767892
Growth 5yr Actual/Est,0.06348057309473631
Growth 3yr Historic,0.029559270516717362
Price/Earnings (TTM),46.134
Price/Sales (TTM),10.59044
Price/Book (MRQ),4.72349
Price/Cash Flow (TTM),36.91516
5yr Low,136.8
5yr High,413.89
5yr Avg Return,0.15285
EPS Growth 5yr,0.1156405
Revenue Growth 5yr,0.1404202
Dividend Growth 5yr,
Short Int Current Month,1044066.0
Short Int Prev Month,1047825.0
Short Int Pct of Float,0.012031499999999999
Days to Cover,1.16575
Float,86.77966
Shares Outstanding,87.11223
Institutions Holding Shares,1071.0
FCF Growth 5yr,0.10876101308034014
"Price/Earnings (TTM, GAAP)",46.13
"PEG Ratio (TTM, GAAP)",5.66
Gross Profit Margin (TTM),0.8726
Operating Profit Margin (TTM),0.28190000000000004
Net Profit Margin (TTM),0.2313
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.029700000000000004
EPS Growth (TTM),0.0049
Revenue Growth (MRQ),-0.0028000000000000004
Revenue Growth (TTM),0.08130000000000001
Return On Equity (TTM),0.10560000000000001
Return On Assets (TTM),0.07730000000000001
Return On Investment (TTM),0.0858
Revenue Per Employee (TTM),397472.0
Total Debt/Total Capital (MRQ),0.14220000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),26.25
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-20 00:00:00
cfra since,2021-03-01 00:00:00
ford since,2022-09-23 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-09-20 00:00:00
