,WWW
% Above Low,0.054900000000000004
% Held by Institutions,0.9872
52-Wk Range,['10.39 - 33.41']
Annual Dividend $,0.4
Annual Dividend %,0.0356
Ask,11.52
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,10.41
Bid Size,100.0
Closing Price,10.96
Day Change $,-0.28
Day Change %,-0.024900000000000002
Day High,11.16
Day Low,10.83
Dividend Pay Date,2023-02-01 00:00:00
"EPS (TTM, GAAP)",1.95
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.631
Last (size),100.0
Last (time),7:00p ET 11/28/22
Market Cap,863.2M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.75
Prev Close,11.24
Short Interest,0.046900000000000004
Today's Open,11.02
Volume,2153591.0
Volume 10-day Avg,1993236.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.3188405797101449
Growth 1yr High Est,-0.33628318584070793
Growth 1yr Consensus Est,-0.3275618827754264
Growth 2yr Low Est,-0.21970397779833484
Growth 2yr High Est,0.041858407079646
Growth 2yr Consensus Est,-0.08892278535934442
Growth 5yr Low Est,-0.12882520318488175
Growth 5yr High Est,0.01446368629844369
Growth 5yr Consensus Est,-0.05718075844321903
Growth 5yr Actual/Est,0.13774764412739152
Growth 3yr Historic,0.1651612903225806
Price/Earnings (TTM),5.75251
Price/Sales (TTM),0.33336
Price/Book (MRQ),1.34755
Price/Cash Flow (TTM),4.61045
5yr Low,10.39
5yr High,44.74
5yr Avg Return,-0.10525000000000001
EPS Growth 5yr,-0.0185417
Revenue Growth 5yr,-0.006473100000000001
Dividend Growth 5yr,0.10756629999999999
Short Int Current Month,3592099.0
Short Int Prev Month,3908311.0
Short Int Pct of Float,0.046882
Days to Cover,1.96291
Float,76.67193
Shares Outstanding,78.75508
Institutions Holding Shares,292.0
FCF Growth 5yr,0.04691554271034034
"Price/Earnings (TTM, GAAP)",5.75
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4175
Operating Profit Margin (TTM),0.0894
Net Profit Margin (TTM),0.059000000000000004
Annual Dividend Yield,0.0356
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.10060000000000001
EPS Growth (MRQ),-0.6831999999999999
EPS Growth (TTM),2.7304000000000004
Revenue Growth (MRQ),-0.0311
Revenue Growth (TTM),0.16010000000000002
Return On Equity (TTM),0.24230000000000002
Return On Assets (TTM),0.0536
Return On Investment (TTM),0.0862
Revenue Per Employee (TTM),603500.0
Total Debt/Total Capital (MRQ),0.6863
Change in Debt/Total Capital Quarter over Quarter,0.0022
Quick Ratio (MRQ),0.5
Interest Coverage (MRQ),4.7
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-06 00:00:00
theStreet since,2021-06-25 00:00:00
ford since,2021-10-15 00:00:00
cfra since,
marketEdge opinion since,
