,LEA
% Above Low,0.254
% Held by Institutions,1.0472
52-Wk Range,['114.67 - 195.43']
Annual Dividend $,3.08
Annual Dividend %,0.021400000000000002
Ask,200.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,143.25
Bid Size,100.0
Closing Price,143.8
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-27 00:00:00
"EPS (TTM, GAAP)",3.87
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.454
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,8.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",37.19
Prev Close,143.8
Short Interest,0.0256
Today's Open,
Volume,157773.0
Volume 10-day Avg,406254.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.11440107671601618
Growth 1yr High Est,-0.022950819672131195
Growth 1yr Consensus Est,0.04572512852194249
Growth 2yr Low Est,0.23050971710196955
Growth 2yr High Est,0.6389720174569993
Growth 2yr Consensus Est,0.4347408672794844
Growth 5yr Low Est,0.10677666620369869
Growth 5yr High Est,0.30192597600845206
Growth 5yr Consensus Est,0.2043513211060754
Growth 5yr Actual/Est,0.1285344033130696
Growth 3yr Historic,-0.03233313261817944
Price/Earnings (TTM),37.18828
Price/Sales (TTM),0.41663
Price/Book (MRQ),1.97988
Price/Cash Flow (TTM),9.76493
5yr Low,63.2
5yr High,206.36
5yr Avg Return,-0.020549999999999992
EPS Growth 5yr,-0.1423353
Revenue Growth 5yr,0.0074903
Dividend Growth 5yr,0.1379701
Short Int Current Month,1509760.0
Short Int Prev Month,1547238.0
Short Int Pct of Float,0.0256007
Days to Cover,2.53498
Float,58.97712
Shares Outstanding,59.10567
Institutions Holding Shares,603.0
FCF Growth 5yr,-1.095698777886019
"Price/Earnings (TTM, GAAP)",37.19
"PEG Ratio (TTM, GAAP)",1.07
Gross Profit Margin (TTM),0.0687
Operating Profit Margin (TTM),0.026099999999999998
Net Profit Margin (TTM),0.0144
Annual Dividend Yield,0.021400000000000002
Dividend Change %,0.8031
"Dividend Growth Rate, 3 Years",-0.06480000000000001
EPS Growth (MRQ),0.3597
EPS Growth (TTM),-0.5760000000000001
Revenue Growth (MRQ),0.0336
Revenue Growth (TTM),0.0394
Return On Equity (TTM),0.0519
Return On Assets (TTM),0.0222
Return On Investment (TTM),0.0366
Revenue Per Employee (TTM),127423.0
Total Debt/Total Capital (MRQ),0.3705
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),1.03
Interest Coverage (MRQ),5.73
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-01 00:00:00
theStreet since,2022-11-14 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-11-01 00:00:00
ford since,2022-09-16 00:00:00
marketEdge opinion since,
