,ARVN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.92,Valuation,
Price/Sales (TTM),19.15,18.11,Valuation,1.0574268360022088
Price/Book (MRQ),3.45,11.51,Valuation,0.29973935708079935
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),,0.6773,Profitability,
Operating Profit Margin (TTM),-2.229,-0.8239000000000001,Profitability,2.7054254157057893
Net Profit Margin (TTM),-2.2527000000000004,-0.8640000000000001,Profitability,2.607291666666667
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.084,Dividend,
EPS Growth (MRQ),0.0543,0.0883,Gowth rates,0.6149490373725934
EPS Growth (TTM),-0.2516,0.5870000000000001,Gowth rates,-0.4286201022146507
Revenue Growth (MRQ),-0.0319,0.0441,Gowth rates,-0.7233560090702947
Revenue Growth (TTM),3.9646,0.1761,Gowth rates,22.51334469051675
Return On Equity (TTM),-0.35100000000000003,0.30160000000000003,Effectiveness,-1.1637931034482758
Return On Assets (TTM),-0.17190000000000003,0.092,Effectiveness,-1.8684782608695656
Return On Investment (TTM),-0.2011,0.13820000000000002,Effectiveness,-1.4551374819102747
Revenue Per Employee (TTM),400469.0,1425813.0,Effectiveness,0.28087063310546334
Total Debt/Total Capital (MRQ),0.0016,0.4169,Financial strength,0.0038378508035500124
Change in Debt/Total Capital Quarter over Quarter,0.002,0.0,Financial strength,inf
Quick Ratio (MRQ),,1.22,Financial strength,
Interest Coverage (MRQ),,26.08,Financial strength,
