,ARVN
% Above Low,0.1559
% Held by Institutions,0.9359000000000001
52-Wk Range,['34.90 - 83.40']
Annual Dividend $,
Annual Dividend %,
Ask,40.44
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,40.3
Bid Size,100.0
Closing Price,40.34
Day Change $,0.78
Day Change %,0.0197
Day High,40.35
Day Low,38.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.76
Ex-dividend Date,No dividend
Historical Volatility,0.718
Last (size),3.0
Last (time),12:59p ET 11/25/22
Market Cap,2.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,39.56
Short Interest,0.1116
Today's Open,39.3
Volume,320998.0
Volume 10-day Avg,744394.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.44545454545454555
Growth 2yr High Est,0.09677419354838701
Growth 2yr Consensus Est,0.2711143695014663
Growth 5yr Low Est,0.44545454545454555
Growth 5yr High Est,0.09677419354838701
Growth 5yr Consensus Est,0.2711143695014663
Growth 5yr Actual/Est,0.3021527679289839
Growth 3yr Historic,0.17068525945962754
Price/Earnings (TTM),
Price/Sales (TTM),19.14894
Price/Book (MRQ),3.45308
Price/Cash Flow (TTM),
5yr Low,10.19
5yr High,108.47
5yr Avg Return,0.4758799999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.47587969999999996
Dividend Growth 5yr,
Short Int Current Month,5387739.0
Short Int Prev Month,5625737.0
Short Int Pct of Float,0.1115707
Days to Cover,12.30341
Float,48.29266
Shares Outstanding,53.22752
Institutions Holding Shares,244.0
FCF Growth 5yr,0.25069914890021355
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-2.229
Net Profit Margin (TTM),-2.2527000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0543
EPS Growth (TTM),-0.2516
Revenue Growth (MRQ),-0.0319
Revenue Growth (TTM),3.9646
Return On Equity (TTM),-0.35100000000000003
Return On Assets (TTM),-0.17190000000000003
Return On Investment (TTM),-0.2011
Revenue Per Employee (TTM),400469.0
Total Debt/Total Capital (MRQ),0.0016
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2019-11-15 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
theStreet since,2019-11-15 00:00:00
newConstructs since,
marketEdge opinion since,
