,INGR
% Below High,0.031400000000000004
% Held by Institutions,0.865
52-Wk Range,['78.81 - 101.89']
Annual Dividend $,2.84
Annual Dividend %,0.0288
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,98.3
Bid Size,
Closing Price,98.69
Day Change $,0.7
Day Change %,0.0070999999999999995
Day High,98.79
Day Low,98.03
Dividend Pay Date,2022-10-25 00:00:00
"EPS (TTM, GAAP)",6.62
Ex-dividend,2022-10-05 00:00:00
Ex-dividend Date,10/05/22
Historical Volatility,0.253
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,6.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.91
Prev Close,97.99
Short Interest,0.015600000000000001
Today's Open,98.28
Volume,99900.0
Volume 10-day Avg,290499.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.03671071953010285
Growth 1yr High Est,0.05339105339105332
Growth 1yr Consensus Est,0.04505088646057809
Growth 2yr Low Est,0.06863864588403157
Growth 2yr High Est,0.09724347190100613
Growth 2yr Consensus Est,0.08294105889251885
Growth 5yr Low Est,0.05130973540581282
Growth 5yr High Est,0.06523475174484786
Growth 5yr Consensus Est,0.05827224357533034
Growth 5yr Actual/Est,0.047773761251291236
Growth 3yr Historic,0.001867027118357678
Price/Earnings (TTM),14.90986
Price/Sales (TTM),0.83869
Price/Book (MRQ),2.11002
Price/Cash Flow (TTM),9.50023
5yr Low,59.11
5yr High,146.28
5yr Avg Return,-0.03935
EPS Growth 5yr,-0.23403960000000001
Revenue Growth 5yr,0.038624
Dividend Growth 5yr,0.0679533
Short Int Current Month,1014362.0
Short Int Prev Month,1090748.0
Short Int Pct of Float,0.0156037
Days to Cover,2.88677
Float,65.05672
Shares Outstanding,65.55532
Institutions Holding Shares,577.0
FCF Growth 5yr,-0.8592524609662026
"Price/Earnings (TTM, GAAP)",14.91
"PEG Ratio (TTM, GAAP)",1.51
Gross Profit Margin (TTM),0.1858
Operating Profit Margin (TTM),0.08960000000000001
Net Profit Margin (TTM),0.059000000000000004
Annual Dividend Yield,0.0288
Dividend Change %,0.0158
"Dividend Growth Rate, 3 Years",0.0195
EPS Growth (MRQ),-0.2479
EPS Growth (TTM),1.7431
Revenue Growth (MRQ),-0.0103
Revenue Growth (TTM),0.1459
Return On Equity (TTM),0.14470000000000002
Return On Assets (TTM),0.0632
Return On Investment (TTM),0.08410000000000001
Revenue Per Employee (TTM),642833.0
Total Debt/Total Capital (MRQ),0.43840000000000007
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),0.91
Interest Coverage (MRQ),7.67
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-04-20 00:00:00
researchTeam since,2022-11-11 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-11-02 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
