,HEI
% Below High,0.018500000000000003
% Held by Institutions,0.6859999999999999
52-Wk Range,['126.95 - 165.61']
Annual Dividend $,0.18
Annual Dividend %,0.0011
Ask,197.78
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,
Bid Size,
Closing Price,162.54
Day Change $,0.14
Day Change %,0.0009
Day High,163.41
Day Low,161.79
Dividend Pay Date,2022-07-15 00:00:00
"EPS (TTM, GAAP)",2.47
Ex-dividend,2022-06-30 00:00:00
Ex-dividend Date,06/30/22
Historical Volatility,0.28800000000000003
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,22.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",65.82
Prev Close,162.4
Short Interest,0.0536
Today's Open,162.05
Volume,105890.0
Volume 10-day Avg,249743.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-14 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.24
Growth 1yr High Est,0.17647058823529416
Growth 1yr Consensus Est,0.20823529411764707
Growth 2yr Low Est,0.19258064516129025
Growth 2yr High Est,0.2036199095022625
Growth 2yr Consensus Est,0.19810027733177638
Growth 5yr Low Est,0.06264430312461974
Growth 5yr High Est,0.08480663308850442
Growth 5yr Consensus Est,0.07372546810656208
Growth 5yr Actual/Est,0.06734903966710476
Growth 3yr Historic,-0.019193875500173596
Price/Earnings (TTM),65.81846
Price/Sales (TTM),9.13726
Price/Book (MRQ),9.01492
Price/Cash Flow (TTM),41.11177
5yr Low,52.01
5yr High,165.61
5yr Avg Return,0.19428333333333334
EPS Growth 5yr,0.1347149
Revenue Growth 5yr,0.0627413
Dividend Growth 5yr,0.15720900000000002
Short Int Current Month,2257136.0
Short Int Prev Month,2246331.0
Short Int Pct of Float,0.053607800000000004
Days to Cover,7.04316
Float,116.3632
Shares Outstanding,136.5917
Institutions Holding Shares,590.0
FCF Growth 5yr,0.45341930865865626
"Price/Earnings (TTM, GAAP)",65.82
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3922
Operating Profit Margin (TTM),0.2208
Net Profit Margin (TTM),0.1773
Annual Dividend Yield,0.0011
Dividend Change %,0.0625
"Dividend Growth Rate, 3 Years",0.0935
EPS Growth (MRQ),-0.028900000000000002
EPS Growth (TTM),0.21280000000000002
Revenue Growth (MRQ),0.057
Revenue Growth (TTM),0.1827
Return On Equity (TTM),0.1468
Return On Assets (TTM),0.10310000000000001
Return On Investment (TTM),0.12369999999999999
Revenue Per Employee (TTM),376448.0
Total Debt/Total Capital (MRQ),0.081
Change in Debt/Total Capital Quarter over Quarter,-0.0042
Quick Ratio (MRQ),1.55
Interest Coverage (MRQ),91.57
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2009-06-03 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-08-30 00:00:00
ford since,2020-03-20 00:00:00
marketEdge opinion since,
