,EWTX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.92,Valuation,
Price/Sales (TTM),,18.11,Valuation,
Price/Book (MRQ),1.72,11.51,Valuation,0.14943527367506515
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),,0.6773,Profitability,
Operating Profit Margin (TTM),,-0.8239000000000001,Profitability,
Net Profit Margin (TTM),,-0.8640000000000001,Profitability,
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.084,Dividend,
EPS Growth (MRQ),-0.0424,0.0883,Gowth rates,-0.4801812004530011
EPS Growth (TTM),-0.6191,0.5870000000000001,Gowth rates,-1.0546848381601361
Revenue Growth (MRQ),,0.0441,Gowth rates,
Revenue Growth (TTM),,0.1761,Gowth rates,
Return On Equity (TTM),-0.1884,0.30160000000000003,Effectiveness,-0.6246684350132625
Return On Assets (TTM),-0.1814,0.092,Effectiveness,-1.9717391304347827
Return On Investment (TTM),-0.18760000000000002,0.13820000000000002,Effectiveness,-1.3574529667149058
Revenue Per Employee (TTM),0.0,1425813.0,Effectiveness,0.0
Total Debt/Total Capital (MRQ),0.0002,0.4169,Financial strength,0.00047973135044375155
Change in Debt/Total Capital Quarter over Quarter,,0.0,Financial strength,
Quick Ratio (MRQ),,1.22,Financial strength,
Interest Coverage (MRQ),,26.08,Financial strength,
