,EWTX
% Above Low,0.8168000000000001
% Held by Institutions,1.0843
52-Wk Range,['5.41 - 22.41']
Annual Dividend $,
Annual Dividend %,
Ask,15.49
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,
Bid,9.4
Bid Size,300.0
Closing Price,9.82
Day Change $,-0.14
Day Change %,-0.0141
Day High,10.31
Day Low,9.74
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.21
Ex-dividend Date,No dividend
Historical Volatility,0.91
Last (size),14.0
Last (time),12:59p ET 11/25/22
Market Cap,617.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,9.96
Short Interest,0.056799999999999996
Today's Open,10.01
Volume,50970.0
Volume 10-day Avg,165627.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.11570247933884303
Growth 1yr High Est,0.13636363636363624
Growth 1yr Consensus Est,0.12603305785123964
Growth 2yr Low Est,0.3245179063360881
Growth 2yr High Est,0.12018181818181806
Growth 2yr Consensus Est,0.2223498622589531
Growth 5yr Low Est,0.3245179063360881
Growth 5yr High Est,0.12018181818181806
Growth 5yr Consensus Est,0.2223498622589531
Growth 5yr Actual/Est,0.1778677462887991
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),1.7175
Price/Cash Flow (TTM),
5yr Low,5.41
5yr High,40.49
5yr Avg Return,-0.38325000000000004
Short Int Current Month,3558566.0
Short Int Prev Month,3595217.0
Short Int Pct of Float,0.056809200000000004
Days to Cover,21.37765
Float,62.64065
Shares Outstanding,63.21356
Institutions Holding Shares,131.0
FCF Growth 5yr,0.37498050113404924
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0424
EPS Growth (TTM),-0.6191
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.1884
Return On Assets (TTM),-0.1814
Return On Investment (TTM),-0.18760000000000002
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0002
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-04 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
