,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,24.36,15.35,13.12,14.17,12.52,,,,,
low,10.27,9.6,5.56,9.53,4.07,,,,,
change,-0.22440000000000002,0.0384,-0.08650000000000001,0.0984,-0.5518,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,58.0,85.0,56.0,109.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,214.0,221.0,214.0,186.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-7.0,-8.0,-8.0,-7.0,Balance Sheet
"Total Receivables, Net",,,,,,209.0,214.0,207.0,179.0,Balance Sheet
Invent. - Finished Goods,,,,,,30.0,44.0,40.0,44.0,Balance Sheet
Invent. - Work In Progress,,,,,,127.0,130.0,161.0,183.0,Balance Sheet
Invent. - Raw Materials,,,,,,132.0,144.0,195.0,212.0,Balance Sheet
Total Inventory,,,,,,289.0,318.0,397.0,439.0,Balance Sheet
Prepaid Expenses,,,,,,72.0,86.0,89.0,74.0,Balance Sheet
Total Current Assets,,,,,,628.0,703.0,749.0,802.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,815.0,819.0,816.0,815.0,Balance Sheet
Accumulated Depreciation,,,,,,-314.0,-324.0,-327.0,-332.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,501.0,495.0,489.0,484.0,Balance Sheet
"Goodwill, Net",,,,,,171.0,171.0,171.0,171.0,Balance Sheet
Intangibles - Gross,,,,,,142.0,142.0,142.0,142.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-81.0,-83.0,-86.0,-88.0,Balance Sheet
Intangibles - Net,,,,,,62.0,59.0,57.0,54.0,Balance Sheet
Other Long Term Assets,,,,,,24.0,32.0,29.0,38.0,Balance Sheet
Total Assets,,,,,,1412.0,1484.0,1516.0,1567.0,Balance Sheet
Accounts Payable,,,,,,117.0,123.0,150.0,119.0,Balance Sheet
Accrued Expenses,,,,,,114.0,139.0,120.0,126.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,4.0,4.0,4.0,4.0,Balance Sheet
Total Current Liabilities,,,,,,235.0,267.0,274.0,250.0,Balance Sheet
Total Long Term Debt,,,,,,1030.0,961.0,920.0,921.0,Balance Sheet
Total Debt,,,,,,1030.0,961.0,920.0,921.0,Balance Sheet
Deferred Income Tax,,,,,,41.0,42.0,45.0,45.0,Balance Sheet
"Other Liabilities, Total",,,,,,84.0,77.0,82.0,80.0,Balance Sheet
Total Liabilities,,,,,,1389.0,1348.0,1321.0,1296.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,3.0,3.0,3.0,3.0,Balance Sheet
Additional Paid-In Capital,,,,,,761.0,754.0,744.0,745.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-733.0,-633.0,-541.0,-450.0,Balance Sheet
"Other Equity, Total",,,,,,-7.0,13.0,-11.0,-26.0,Balance Sheet
Total Equity,,,,,,23.0,135.0,195.0,271.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,1412.0,1484.0,1516.0,1567.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,263.0,260.0,257.0,257.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,363293.0,366245.0,363646.0,303840.0,Income Statement
