,EAF
% Above Low,0.317
% Held by Institutions,0.9465
52-Wk Range,['4.07 - 12.52']
Annual Dividend $,0.04
Annual Dividend %,0.0075
Ask,5.45
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,5.3
Bid Size,100.0
Closing Price,5.36
Day Change $,-0.13
Day Change %,-0.023700000000000002
Day High,5.53
Day Low,5.32
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",1.82
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.562
Last (size),249.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",2.95
Prev Close,5.49
Short Interest,0.0181
Today's Open,5.5
Volume,840115.0
Volume 10-day Avg,2902409.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-03 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.08536585365853655
Growth 1yr High Est,-0.10588235294117643
Growth 1yr Consensus Est,-0.09562410329985649
Growth 2yr Low Est,-0.3593495934959349
Growth 2yr High Est,-0.22399380804953556
Growth 2yr Consensus Est,-0.29167170077273524
Growth 5yr Low Est,-0.2509866548245314
Growth 5yr High Est,-0.1913331443348453
Growth 5yr Consensus Est,-0.22115989957968835
Growth 5yr Actual/Est,-0.2255535887590567
Growth 3yr Historic,-0.06999105545617174
Price/Earnings (TTM),2.94701
Price/Sales (TTM),0.98449
Price/Book (MRQ),5.07512
Price/Cash Flow (TTM),2.57984
5yr Low,4.07
5yr High,24.36
5yr Avg Return,-0.14518
EPS Growth 5yr,
Revenue Growth 5yr,0.2517219
Dividend Growth 5yr,
Short Int Current Month,4630801.0
Short Int Prev Month,5426950.0
Short Int Pct of Float,0.018074
Days to Cover,2.04884
Float,256.2132
Shares Outstanding,256.5974
Institutions Holding Shares,302.0
FCF Growth 5yr,-0.00022931496178883273
"Price/Earnings (TTM, GAAP)",2.95
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4662
Operating Profit Margin (TTM),0.4097
Net Profit Margin (TTM),0.3394
Annual Dividend Yield,0.0075
Dividend Change %,-0.6522
"Dividend Growth Rate, 3 Years",-0.51
EPS Growth (MRQ),-0.1811
EPS Growth (TTM),0.3084
Revenue Growth (MRQ),-0.1645
Revenue Growth (TTM),0.0579
Return On Equity (TTM),5.9153
Return On Assets (TTM),0.32030000000000003
Return On Investment (TTM),0.3847
Revenue Per Employee (TTM),1032538.0
Total Debt/Total Capital (MRQ),0.7726999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0027
Quick Ratio (MRQ),1.45
Interest Coverage (MRQ),18.45
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2021-10-14 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-10-14 00:00:00
marketEdge opinion since,
