,CLX
% Above Low,0.2407
% Held by Institutions,0.7517
52-Wk Range,['120.50 - 186.86']
Annual Dividend $,4.72
Annual Dividend %,0.0316
Ask,149.8
Ask Size,1000.0
B/A Ratio,1.0
B/A Size,1000x1000
Beta,0.3
Bid,149.2
Bid Size,1000.0
Closing Price,149.5
Day Change $,0.39
Day Change %,0.0026
Day High,149.55
Day Low,147.09
Dividend Pay Date,2023-02-10 00:00:00
"EPS (TTM, GAAP)",3.27
Ex-dividend,2023-01-24 00:00:00
Ex-dividend Date,01/24/23
Historical Volatility,0.337
Last (size),13.0
Last (time),5:00p ET 11/25/22
Market Cap,18.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",45.72
Prev Close,149.11
Short Interest,0.0538
Today's Open,149.12
Volume,655037.0
Volume 10-day Avg,1068706.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.007537688442210921
Growth 1yr High Est,0.020930232558139528
Growth 1yr Consensus Est,0.014233960500175225
Growth 2yr Low Est,0.1247164751437988
Growth 2yr High Est,0.2086427928166552
Growth 2yr Consensus Est,0.166679633980227
Growth 5yr Low Est,-0.07423853027548692
Growth 5yr High Est,-0.010477454361546087
Growth 5yr Consensus Est,-0.0423579923185165
Growth 5yr Actual/Est,-0.03646356989697422
Growth 3yr Historic,-0.11235710269865071
Price/Earnings (TTM),45.72481
Price/Sales (TTM),2.6198
Price/Book (MRQ),56.56969
Price/Cash Flow (TTM),28.82192
5yr Low,113.57
5yr High,239.87
5yr Avg Return,0.028766666666666666
EPS Growth 5yr,-0.0694334
Revenue Growth 5yr,0.0353776
Dividend Growth 5yr,0.0771436
Short Int Current Month,6605691.0
Short Int Prev Month,6574285.0
Short Int Pct of Float,0.0537751
Days to Cover,4.95656
Float,122.8814
Shares Outstanding,123.3848
Institutions Holding Shares,1354.0
FCF Growth 5yr,0.5444394148831733
"Price/Earnings (TTM, GAAP)",45.72
"PEG Ratio (TTM, GAAP)",3.46
Gross Profit Margin (TTM),0.35509999999999997
Operating Profit Margin (TTM),0.0764
Net Profit Margin (TTM),0.0589
Annual Dividend Yield,0.0316
Dividend Change %,0.045
"Dividend Growth Rate, 3 Years",0.0651
EPS Growth (MRQ),-0.1592
EPS Growth (TTM),-0.053899999999999997
Revenue Growth (MRQ),-0.0339
Revenue Growth (TTM),-0.0263
Return On Equity (TTM),1.1671
Return On Assets (TTM),0.0668
Return On Investment (TTM),0.11170000000000001
Revenue Per Employee (TTM),782333.0
Total Debt/Total Capital (MRQ),0.8506
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),0.5
Interest Coverage (MRQ),7.14
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2022-02-04 00:00:00
ford since,2022-05-06 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-11-10 00:00:00
