,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,31.0,37.49,25.96,,,,,
low,16.2,16.64,7.65,,,,,
change,-0.368,0.2886,-0.5333,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,23.0,14.0,28.0,38.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,37.0,32.0,49.0,46.0,Balance Sheet
Prov. for Doubtful Accts,,,,-7.0,-5.0,-8.0,-8.0,Balance Sheet
"Trade Accts Recvble, Net",,,,29.0,27.0,41.0,38.0,Balance Sheet
Other Receivables,,,,4.0,3.0,7.0,8.0,Balance Sheet
"Total Receivables, Net",,,,33.0,30.0,48.0,46.0,Balance Sheet
Total Inventory,,,,,,106.0,96.0,Balance Sheet
Prepaid Expenses,,,,61.0,61.0,59.0,66.0,Balance Sheet
Total Current Assets,,,,,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,1212.0,1202.0,1184.0,1152.0,Balance Sheet
Accumulated Depreciation,,,,-440.0,-433.0,-438.0,-437.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,1281.0,1288.0,1470.0,1437.0,Balance Sheet
"Goodwill, Net",,,,13.0,13.0,75.0,52.0,Balance Sheet
Intangibles - Net,,,,5.0,4.0,110.0,121.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,8.0,8.0,11.0,12.0,Balance Sheet
Disct. Ops. - LT Asset,,,,2.0,2.0,1.0,1.0,Balance Sheet
Other Assets,,,,15.0,27.0,22.0,19.0,Balance Sheet
"Other Assets, Total",,,,15.0,27.0,22.0,19.0,Balance Sheet
Total Assets,,,,1441.0,1446.0,1932.0,1888.0,Balance Sheet
Accounts Payable,,,,83.0,84.0,79.0,91.0,Balance Sheet
Accrued Expenses,,,,414.0,418.0,591.0,591.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,27.0,19.0,Balance Sheet
Customer Advances,,,,66.0,56.0,75.0,76.0,Balance Sheet
Income Taxes Payable,,,,92.0,99.0,94.0,90.0,Balance Sheet
"Other Curr. Lblts, Total",,,,159.0,155.0,168.0,166.0,Balance Sheet
Total Current Liabilities,,,,,,,,Balance Sheet
Total Long Term Debt,,,,10.0,0.0,283.0,255.0,Balance Sheet
Total Debt,,,,10.0,0.0,310.0,274.0,Balance Sheet
"Other Liabilities, Total",,,,57.0,59.0,62.0,62.0,Balance Sheet
Total Liabilities,,,,723.0,715.0,1211.0,1184.0,Balance Sheet
Common Stock,,,,18.0,18.0,18.0,18.0,Balance Sheet
Additional Paid-In Capital,,,,724.0,728.0,732.0,735.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,99.0,116.0,108.0,89.0,Balance Sheet
Treasury Stock - Common,,,,-122.0,-131.0,-136.0,-136.0,Balance Sheet
"Other Equity, Total",,,,-1.0,0.0,-1.0,-1.0,Balance Sheet
Total Equity,,,,718.0,731.0,721.0,704.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,1441.0,1446.0,1932.0,1888.0,Balance Sheet
