,AAN
% Above Low,0.5147
% Held by Institutions,0.9229
52-Wk Range,['7.65 - 25.96']
Annual Dividend $,0.45
Annual Dividend %,0.038900000000000004
Ask,12.85
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,
Bid,6.0
Bid Size,400.0
Closing Price,11.58
Day Change $,-0.27
Day Change %,-0.022799999999999997
Day High,11.94
Day Low,11.58
Dividend Pay Date,2023-01-05 00:00:00
"EPS (TTM, GAAP)",0.5
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.8009999999999999
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,356.4M
"P/E Ratio (TTM, GAAP)",22.97
Prev Close,11.85
Short Interest,0.057999999999999996
Today's Open,11.72
Volume,123564.0
Volume 10-day Avg,385661.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.29999999999999993
Growth 2yr High Est,0.009852216748768461
Growth 2yr Consensus Est,-0.14507389162561574
Growth 5yr Low Est,-0.29999999999999993
Growth 5yr High Est,0.009852216748768461
Growth 5yr Consensus Est,-0.14507389162561574
Growth 5yr Actual/Est,-0.1277967911670198
Growth 3yr Historic,0.0805739514348786
Price/Earnings (TTM),22.97163
Price/Sales (TTM),0.16936
Price/Book (MRQ),0.50651
Price/Cash Flow (TTM),0.60226
5yr Low,7.65
5yr High,37.49
5yr Avg Return,-0.20423333333333332
EPS Growth 5yr,0.09980660000000001
Revenue Growth 5yr,-0.0105526
Dividend Growth 5yr,
Short Int Current Month,1727681.0
Short Int Prev Month,1662342.0
Short Int Pct of Float,0.0579577
Days to Cover,3.97409
Float,29.80933
Shares Outstanding,30.78048
Institutions Holding Shares,242.0
FCF Growth 5yr,-22.93936612380446
"Price/Earnings (TTM, GAAP)",22.97
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5478000000000001
Operating Profit Margin (TTM),0.011200000000000002
Net Profit Margin (TTM),0.008
Annual Dividend Yield,0.038900000000000004
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.9187
EPS Growth (TTM),-0.8207
Revenue Growth (MRQ),-0.0279
Revenue Growth (TTM),0.1495
Return On Equity (TTM),0.023700000000000002
Return On Assets (TTM),0.0102
Return On Investment (TTM),0.0188
Revenue Per Employee (TTM),229515.0
Total Debt/Total Capital (MRQ),0.2802
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.93
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-02-24 00:00:00
ford since,2022-09-09 00:00:00
cfra since,
theStreet since,2022-02-24 00:00:00
newConstructs since,
marketEdge opinion since,
