,AAN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",22.97,19.03,Valuation,1.2070415133998948
Price/Sales (TTM),0.17,1.93,Valuation,0.08808290155440415
Price/Book (MRQ),0.51,92.12,Valuation,0.005536257056013895
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.5478000000000001,0.34390000000000004,Profitability,1.5929049142192497
Operating Profit Margin (TTM),0.011200000000000002,0.11789999999999999,Profitability,0.09499575911789654
Net Profit Margin (TTM),0.008,0.0818,Profitability,0.097799511002445
Annual Dividend Yield,0.038900000000000004,0.016200000000000003,Dividend,2.4012345679012346
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),-1.9187,-0.10800000000000001,Gowth rates,17.76574074074074
EPS Growth (TTM),-0.8207,0.0262,Gowth rates,-31.32442748091603
Revenue Growth (MRQ),-0.0279,0.0478,Gowth rates,-0.5836820083682008
Revenue Growth (TTM),0.1495,0.0874,Gowth rates,1.7105263157894735
Return On Equity (TTM),0.023700000000000002,5.2054,Effectiveness,0.004552964229454029
Return On Assets (TTM),0.0102,0.1562,Effectiveness,0.06530089628681178
Return On Investment (TTM),0.0188,0.26,Effectiveness,0.07230769230769231
Revenue Per Employee (TTM),229515.0,410011.0,Effectiveness,0.5597776645016841
Total Debt/Total Capital (MRQ),0.2802,0.8926999999999999,Financial strength,0.31387924274672346
Change in Debt/Total Capital Quarter over Quarter,,0.0016,Financial strength,
Quick Ratio (MRQ),,0.39,Financial strength,
Interest Coverage (MRQ),2.93,13.36,Financial strength,0.219311377245509
