,MODN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),6.6,9.39,Valuation,0.7028753993610223
Price/Book (MRQ),10.74,12.63,Valuation,0.850356294536817
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.5569,0.7206,Profitability,0.772828198723286
Operating Profit Margin (TTM),-0.0591,0.2172,Profitability,-0.27209944751381215
Net Profit Margin (TTM),-0.1307,0.1553,Profitability,-0.8415969092079847
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.2952,-0.0752,Gowth rates,3.925531914893617
EPS Growth (TTM),0.07110000000000001,-0.2824,Gowth rates,-0.2517705382436261
Revenue Growth (MRQ),0.0356,0.15560000000000002,Gowth rates,0.2287917737789203
Revenue Growth (TTM),0.133,0.1906,Gowth rates,0.6977964323189927
Return On Equity (TTM),-0.22190000000000001,0.2189,Effectiveness,-1.0137048880767474
Return On Assets (TTM),-0.0758,0.10740000000000001,Effectiveness,-0.7057728119180633
Return On Investment (TTM),-0.1036,0.1387,Effectiveness,-0.7469358327325163
Revenue Per Employee (TTM),211753.0,667721.0,Effectiveness,0.31712796212789474
Total Debt/Total Capital (MRQ),0.5015,0.39659999999999995,Financial strength,1.2644982349974785
Change in Debt/Total Capital Quarter over Quarter,0.0001,0.0004,Financial strength,0.25
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-1.47,0.28,Financial strength,-5.249999999999999
