,MODN
% Below High,0.0348
% Held by Institutions,0.9851000000000001
52-Wk Range,['20.95 - 40.11']
Annual Dividend $,
Annual Dividend %,
Ask,50.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,29.17
Bid Size,100.0
Closing Price,38.71
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.78
Ex-dividend Date,No dividend
Historical Volatility,0.45799999999999996
Last (size),50.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,38.71
Short Interest,0.066
Today's Open,
Volume,143038.0
Volume 10-day Avg,399288.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.2857142857142858
Growth 1yr High Est,0.3194444444444444
Growth 1yr Consensus Est,0.3025793650793651
Growth 2yr Low Est,0.17619047619047623
Growth 2yr High Est,0.27551169590643276
Growth 2yr Consensus Est,0.2258510860484545
Growth 5yr Low Est,0.17619047619047623
Growth 5yr High Est,0.27551169590643276
Growth 5yr Consensus Est,0.2258510860484545
Growth 5yr Actual/Est,0.22244623655913986
Growth 3yr Historic,0.11458333333333337
Price/Earnings (TTM),
Price/Sales (TTM),6.59852
Price/Book (MRQ),10.74222
Price/Cash Flow (TTM),
5yr Low,12.6
5yr High,48.2
5yr Avg Return,0.26926666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.1081221
Dividend Growth 5yr,
Short Int Current Month,2378125.0
Short Int Prev Month,2423893.0
Short Int Pct of Float,0.0659993
Days to Cover,5.86993
Float,36.10065
Shares Outstanding,37.35878
Institutions Holding Shares,222.0
FCF Growth 5yr,1.5722572301920525
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5569
Operating Profit Margin (TTM),-0.0591
Net Profit Margin (TTM),-0.1307
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2952
EPS Growth (TTM),0.07110000000000001
Revenue Growth (MRQ),0.0356
Revenue Growth (TTM),0.133
Return On Equity (TTM),-0.22190000000000001
Return On Assets (TTM),-0.0758
Return On Investment (TTM),-0.1036
Revenue Per Employee (TTM),211753.0
Total Debt/Total Capital (MRQ),0.5015
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),-1.47
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-15 00:00:00
theStreet since,2022-08-15 00:00:00
ford since,2022-09-23 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
