,AZO
% Below High,0.0051
% Held by Institutions,0.9286
52-Wk Range,"['1,703.32 - 2,575.29']"
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,2315.0
Bid Size,
Closing Price,2562.12
Day Change $,45.54
Day Change %,0.0181
Day High,2575.29
Day Low,2526.77
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",118.03
Ex-dividend Date,No dividend
Historical Volatility,0.31
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,48.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.71
Prev Close,2516.58
Short Interest,0.0192
Today's Open,2535.6
Volume,60799.0
Volume 10-day Avg,127207.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-06 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,0.02417078334509526
Growth 1yr High Est,0.11182081417135081
Growth 1yr Consensus Est,0.06799579875822304
Growth 2yr Low Est,0.09412673534179827
Growth 2yr High Est,0.1556040110688236
Growth 2yr Consensus Est,0.12486537320531094
Growth 5yr Low Est,0.09412673534179827
Growth 5yr High Est,0.1556040110688236
Growth 5yr Consensus Est,0.12486537320531094
Growth 5yr Actual/Est,0.19150190806812667
Growth 3yr Historic,0.1386216642351697
Price/Earnings (TTM),21.70741
Price/Sales (TTM),2.99237
Price/Book (MRQ),
Price/Cash Flow (TTM),16.93441
5yr Low,590.76
5yr High,2560.01
5yr Avg Return,0.28474999999999995
EPS Growth 5yr,0.2160398
Revenue Growth 5yr,0.0833969
Dividend Growth 5yr,
Short Int Current Month,363281.0
Short Int Prev Month,401279.0
Short Int Pct of Float,0.0192154
Days to Cover,2.58052
Float,18.91332
Shares Outstanding,18.98143
Institutions Holding Shares,1354.0
FCF Growth 5yr,0.5611893888368757
"Price/Earnings (TTM, GAAP)",21.71
"PEG Ratio (TTM, GAAP)",1.64
Gross Profit Margin (TTM),0.5213
Operating Profit Margin (TTM),0.20120000000000002
Net Profit Margin (TTM),0.1495
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),
EPS Growth (TTM),0.2273
Revenue Growth (MRQ),
Revenue Growth (TTM),0.1109
Return On Equity (TTM),
Return On Assets (TTM),0.1631
Return On Investment (TTM),0.35130000000000006
Revenue Per Employee (TTM),234047.0
Total Debt/Total Capital (MRQ),2.2231
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),0.12
Interest Coverage (MRQ),17.25
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-07-05 00:00:00
cfra since,2021-11-15 00:00:00
ford since,2022-08-26 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,
