,AZO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",21.71,19.03,Valuation,1.140830267997898
Price/Sales (TTM),2.99,1.93,Valuation,1.5492227979274613
Price/Book (MRQ),,92.12,Valuation,
"PEG Ratio (TTM, GAAP)",1.64,7.27,Valuation,0.22558459422283356
Gross Profit Margin (TTM),0.5213,0.34390000000000004,Profitability,1.515847630125036
Operating Profit Margin (TTM),0.20120000000000002,0.11789999999999999,Profitability,1.7065309584393558
Net Profit Margin (TTM),0.1495,0.0818,Profitability,1.8276283618581908
Annual Dividend Yield,,0.016200000000000003,Dividend,
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),,-0.10800000000000001,Gowth rates,
EPS Growth (TTM),0.2273,0.0262,Gowth rates,8.67557251908397
Revenue Growth (MRQ),,0.0478,Gowth rates,
Revenue Growth (TTM),0.1109,0.0874,Gowth rates,1.268878718535469
Return On Equity (TTM),,5.2054,Effectiveness,
Return On Assets (TTM),0.1631,0.1562,Effectiveness,1.0441741357234315
Return On Investment (TTM),0.35130000000000006,0.26,Effectiveness,1.3511538461538464
Revenue Per Employee (TTM),234047.0,410011.0,Effectiveness,0.5708310264846553
Total Debt/Total Capital (MRQ),2.2231,0.8926999999999999,Financial strength,2.490310294611852
Change in Debt/Total Capital Quarter over Quarter,0.001,0.0016,Financial strength,0.625
Quick Ratio (MRQ),0.12,0.39,Financial strength,0.30769230769230765
Interest Coverage (MRQ),17.25,13.36,Financial strength,1.2911676646706587
