,AZO
Price/Earnings (TTM),21.70741
Price/Sales (TTM),2.99237
Price/Book (MRQ),
Price/Cash Flow (TTM),16.93441
5yr Low,590.76
5yr High,2560.01
5yr Avg Return,0.28474999999999995
EPS Growth 5yr,0.2160398
Revenue Growth 5yr,0.0833969
Dividend Growth 5yr,
Short Int Current Month,363281.0
Short Int Prev Month,401279.0
Short Int Pct of Float,0.0192154
Days to Cover,2.58052
Float,18.91332
Shares Outstanding,18.98143
Institutions Holding Shares,1354.0
% Held by Institutions,0.928645
FCF Growth 5yr,0.5611893888368757
