,METC
% Above Low,0.33890000000000003
% Held by Institutions,0.618
52-Wk Range,['8.43 - 21.73']
Annual Dividend $,0.4532
Annual Dividend %,0.0401
Ask,12.04
Ask Size,2000.0
B/A Ratio,1.0
B/A Size,2000x2000
Beta,1.1
Bid,9.04
Bid Size,2000.0
Closing Price,11.29
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.68
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.794
Last (size),11.0
Last (time),1:00p ET 11/25/22
Market Cap,498.1M
"P/E Ratio (TTM, GAAP)",4.21
Prev Close,11.29
Short Interest,0.08259999999999999
Today's Open,
Volume,175509.0
Volume 10-day Avg,434154.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,2.797619047619048
Growth 1yr High Est,2.734042553191489
Growth 1yr Consensus Est,2.7658308004052685
Growth 2yr Low Est,1.2154239438722199
Growth 2yr High Est,1.5436594532339214
Growth 2yr Consensus Est,1.3795416985530706
Growth 5yr Low Est,1.2154239438722199
Growth 5yr High Est,1.5436594532339214
Growth 5yr Consensus Est,1.3795416985530706
Growth 5yr Actual/Est,-1.7284384782347872
Growth 3yr Historic,-2.4241803278688523
Price/Earnings (TTM),4.21479
Price/Sales (TTM),0.96171
Price/Book (MRQ),1.66785
Price/Cash Flow (TTM),3.16201
5yr Low,1.75
5yr High,21.73
5yr Avg Return,0.5297333333333333
EPS Growth 5yr,
Revenue Growth 5yr,1.223364
Dividend Growth 5yr,
Short Int Current Month,2001324.0
Short Int Prev Month,1853302.0
Short Int Pct of Float,0.0826287
Days to Cover,3.29821
Float,24.22646
Shares Outstanding,44.1217
Institutions Holding Shares,144.0
FCF Growth 5yr,0.530533184317745
"Price/Earnings (TTM, GAAP)",4.21
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.44170000000000004
Operating Profit Margin (TTM),0.2988
Net Profit Margin (TTM),0.2322
Annual Dividend Yield,0.0401
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1808
EPS Growth (TTM),6.2885
Revenue Growth (MRQ),-0.0125
Revenue Growth (TTM),1.0967
Return On Equity (TTM),0.48850000000000005
Return On Assets (TTM),0.27940000000000004
Return On Investment (TTM),0.3615
Revenue Per Employee (TTM),1140897.0
Total Debt/Total Capital (MRQ),0.30960000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0046
Quick Ratio (MRQ),0.68
Interest Coverage (MRQ),16.27
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-09-30 00:00:00
theStreet since,2021-08-10 00:00:00
ford since,2022-09-30 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
