,ADBE
% Above Low,0.2168
% Held by Institutions,0.8156
52-Wk Range,['274.73 - 694.89']
Annual Dividend $,
Annual Dividend %,
Ask,334.3
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,333.61
Bid Size,100.0
Closing Price,334.3
Day Change $,-1.48
Day Change %,-0.0044
Day High,335.51
Day Low,332.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",10.14
Ex-dividend Date,No dividend
Historical Volatility,0.48
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,155.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",32.96
Prev Close,335.78
Short Interest,0.009899999999999999
Today's Open,332.89
Volume,1197767.0
Volume 10-day Avg,3048186.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-15 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,0.09236947791164662
Growth 1yr High Est,0.0923441199684294
Growth 1yr Consensus Est,0.09235679894003801
Growth 2yr Low Est,-0.0005064375147649236
Growth 2yr High Est,0.1419090542038678
Growth 2yr Consensus Est,0.07070130834455143
Growth 5yr Low Est,0.13063688431942136
Growth 5yr High Est,0.2050069178092298
Growth 5yr Consensus Est,0.1678219010643256
Growth 5yr Actual/Est,0.1817665685192809
Growth 3yr Historic,0.12974951878923596
Price/Earnings (TTM),32.96412
Price/Sales (TTM),9.04055
Price/Book (MRQ),10.8619
Price/Cash Flow (TTM),27.46352
5yr Low,165.68
5yr High,699.54
5yr Avg Return,0.16154999999999997
EPS Growth 5yr,0.3403161
Revenue Growth 5yr,0.2194163
Dividend Growth 5yr,
Short Int Current Month,4591048.0
Short Int Prev Month,5317353.0
Short Int Pct of Float,0.0099112
Days to Cover,1.16816
Float,463.2902
Shares Outstanding,464.9
Institutions Holding Shares,3081.0
FCF Growth 5yr,0.27666778512861107
"Price/Earnings (TTM, GAAP)",32.96
"PEG Ratio (TTM, GAAP)",2.5
Gross Profit Margin (TTM),0.8776
Operating Profit Margin (TTM),0.35450000000000004
Net Profit Margin (TTM),0.28
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.027400000000000004
EPS Growth (TTM),-0.1632
Revenue Growth (MRQ),0.010700000000000001
Revenue Growth (TTM),0.1386
Return On Equity (TTM),0.3344
Return On Assets (TTM),0.182
Return On Investment (TTM),0.2452
Revenue Per Employee (TTM),661498.0
newConstructs,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-08-05 00:00:00
cfra since,2022-03-23 00:00:00
ford since,2022-08-05 00:00:00
marketEdge opinion since,
marketEdge since,2022-02-18 00:00:00
