,ADBE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",32.96,54.08,Valuation,0.6094674556213018
Price/Sales (TTM),9.04,9.39,Valuation,0.9627263045793396
Price/Book (MRQ),10.86,12.63,Valuation,0.859857482185273
"PEG Ratio (TTM, GAAP)",2.5,1.92,Valuation,1.3020833333333335
Gross Profit Margin (TTM),0.8776,0.7206,Profitability,1.2178739938939773
Operating Profit Margin (TTM),0.35450000000000004,0.2172,Profitability,1.6321362799263353
Net Profit Margin (TTM),0.28,0.1553,Profitability,1.8029620090148102
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.027400000000000004,-0.0752,Gowth rates,0.3643617021276596
EPS Growth (TTM),-0.1632,-0.2824,Gowth rates,0.5779036827195468
Revenue Growth (MRQ),0.010700000000000001,0.15560000000000002,Gowth rates,0.06876606683804627
Revenue Growth (TTM),0.1386,0.1906,Gowth rates,0.727177334732424
Return On Equity (TTM),0.3344,0.2189,Effectiveness,1.5276381909547736
Return On Assets (TTM),0.182,0.10740000000000001,Effectiveness,1.6945996275605213
Return On Investment (TTM),0.2452,0.1387,Effectiveness,1.7678442682047586
Revenue Per Employee (TTM),661498.0,667721.0,Effectiveness,0.9906802392017026
Return On Equity (TTM),0.3344,0.2189,Financial strength,1.5276381909547736
Return On Assets (TTM),0.182,0.10740000000000001,Financial strength,1.6945996275605213
Return On Investment (TTM),0.2452,0.1387,Financial strength,1.7678442682047586
Revenue Per Employee (TTM),661498.0,667721.0,Financial strength,0.9906802392017026
