,CVLT
% Below High,0.0681
% Held by Institutions,0.9307
52-Wk Range,['50.26 - 70.88']
Annual Dividend $,
Annual Dividend %,
Ask,66.42
Ask Size,700.0
B/A Ratio,0.2857142857142857
B/A Size,200x700
Beta,0.6
Bid,65.68
Bid Size,200.0
Closing Price,66.05
Day Change $,0.32
Day Change %,0.0049
Day High,66.37
Day Low,65.33
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.56
Ex-dividend Date,No dividend
Historical Volatility,0.341
Last (size),21.0
Last (time),12:59p ET 11/25/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",117.36
Prev Close,65.73
Short Interest,0.0194
Today's Open,65.33
Volume,64213.0
Volume 10-day Avg,389860.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.09205020920502083
Growth 1yr High Est,0.12396694214876036
Growth 1yr Consensus Est,0.1080085756768906
Growth 2yr Low Est,0.07284502797415793
Growth 2yr High Est,0.15757170636849782
Growth 2yr Consensus Est,0.11520836717132787
Growth 5yr Low Est,0.11356335198277197
Growth 5yr High Est,0.16713930751363906
Growth 5yr Consensus Est,0.14035132974820552
Growth 5yr Actual/Est,0.2090214442631158
Growth 3yr Historic,0.1611864683771858
Price/Earnings (TTM),117.3617
Price/Sales (TTM),3.70274
Price/Book (MRQ),11.10457
Price/Cash Flow (TTM),78.28545
5yr Low,24.26
5yr High,84.22
5yr Avg Return,0.04703333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.035951399999999994
Dividend Growth 5yr,
Short Int Current Month,855227.0
Short Int Prev Month,1074573.0
Short Int Pct of Float,0.019413100000000003
Days to Cover,2.51569
Float,44.07158
Shares Outstanding,44.53204
Institutions Holding Shares,350.0
FCF Growth 5yr,0.8031739398626326
"Price/Earnings (TTM, GAAP)",117.36
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8388
Operating Profit Margin (TTM),0.051100000000000007
Net Profit Margin (TTM),0.032799999999999996
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.29600000000000004
EPS Growth (TTM),0.1409
Revenue Growth (MRQ),-0.0501
Revenue Growth (TTM),0.0726
Return On Equity (TTM),0.09210000000000002
Return On Assets (TTM),0.0334
Return On Investment (TTM),0.059800000000000006
Revenue Per Employee (TTM),278921.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2022-11-01 00:00:00
ford since,2022-06-10 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-12-17 00:00:00
