,CVLT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",117.36,54.08,Valuation,2.1701183431952664
Price/Sales (TTM),3.7,9.39,Valuation,0.39403620873269435
Price/Book (MRQ),11.1,12.63,Valuation,0.8788598574821852
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.8388,0.7206,Profitability,1.1640299750208158
Operating Profit Margin (TTM),0.051100000000000007,0.2172,Profitability,0.23526703499079193
Net Profit Margin (TTM),0.032799999999999996,0.1553,Profitability,0.2112041210560206
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.29600000000000004,-0.0752,Gowth rates,-3.936170212765958
EPS Growth (TTM),0.1409,-0.2824,Gowth rates,-0.49893767705382436
Revenue Growth (MRQ),-0.0501,0.15560000000000002,Gowth rates,-0.3219794344473007
Revenue Growth (TTM),0.0726,0.1906,Gowth rates,0.3809024134312697
Return On Equity (TTM),0.09210000000000002,0.2189,Effectiveness,0.4207400639561444
Return On Assets (TTM),0.0334,0.10740000000000001,Effectiveness,0.3109869646182495
Return On Investment (TTM),0.059800000000000006,0.1387,Effectiveness,0.4311463590483058
Revenue Per Employee (TTM),278921.0,667721.0,Effectiveness,0.4177208744370778
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
