,XXII,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,17.37,Valuation,
Price/Sales (TTM),4.99,4.19,Valuation,1.1909307875894988
Price/Book (MRQ),2.1,0.01,Valuation,210.0
"PEG Ratio (TTM, GAAP)",,0.76,Valuation,
Gross Profit Margin (TTM),0.0464,0.6143,Profitability,0.07553312713657821
Operating Profit Margin (TTM),-0.8438,0.4093,Profitability,-2.0615685316393844
Net Profit Margin (TTM),-0.9335,0.25079999999999997,Profitability,-3.722089314194578
Annual Dividend Yield,,0.06269999999999999,Dividend,
Dividend Change %,,0.031400000000000004,Dividend,
"Dividend Growth Rate, 3 Years",,0.04360000000000001,Dividend,
EPS Growth (MRQ),0.013000000000000001,0.2832,Gowth rates,0.04590395480225989
EPS Growth (TTM),-0.6026,0.2274,Gowth rates,-2.6499560246262095
Revenue Growth (MRQ),0.33890000000000003,-0.012700000000000001,Gowth rates,-26.68503937007874
Revenue Growth (TTM),0.6789000000000001,0.018500000000000003,Gowth rates,36.6972972972973
Return On Equity (TTM),-0.4746,0.0016,Effectiveness,-296.625
Return On Assets (TTM),-0.4154,0.1886,Effectiveness,-2.2025450689289503
Return On Investment (TTM),-0.4678,0.3546,Effectiveness,-1.3192329385222785
Revenue Per Employee (TTM),669276.0,1743737.0,Effectiveness,0.38381705498019486
Total Debt/Total Capital (MRQ),0.047599999999999996,1.3114,Financial strength,0.03629708708250724
Change in Debt/Total Capital Quarter over Quarter,0.0106,0.0001,Financial strength,106.0
Quick Ratio (MRQ),2.79,0.52,Financial strength,5.365384615384615
Interest Coverage (MRQ),-36.69,14.3,Financial strength,-2.5657342657342657
