,XXII
% Above Low,0.31760000000000005
% Held by Institutions,0.2102
52-Wk Range,['0.85 - 3.52']
Annual Dividend $,
Annual Dividend %,
Ask,1.12
Ask Size,400.0
B/A Ratio,49.25
B/A Size,19700x400
Beta,1.9
Bid,1.1
Bid Size,19700.0
Closing Price,1.12
Day Change $,-0.06
Day Change %,-0.0508
Day High,1.17
Day Low,1.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.27
Ex-dividend Date,No dividend
Historical Volatility,0.924
Last (size),50.0
Last (time),4:00p ET 11/28/22
Market Cap,241.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.18
Short Interest,0.0815
Today's Open,1.17
Volume,947968.0
Volume 10-day Avg,1502656.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.1200000000000001
Growth 2yr High Est,-0.18181818181818188
Growth 2yr Consensus Est,-0.030909090909090886
Growth 5yr Low Est,0.1200000000000001
Growth 5yr High Est,-0.18181818181818188
Growth 5yr Consensus Est,-0.030909090909090886
Growth 5yr Actual/Est,0.19841269841269837
Growth 3yr Historic,0.1666666666666666
Price/Earnings (TTM),
Price/Sales (TTM),4.99471
Price/Book (MRQ),2.09811
Price/Cash Flow (TTM),
5yr Low,0.55
5yr High,6.07
5yr Avg Return,0.04381666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.2030592
Dividend Growth 5yr,
Short Int Current Month,17090286.0
Short Int Prev Month,16117560.0
Short Int Pct of Float,0.08150299999999999
Days to Cover,8.65678
Float,209.689
Shares Outstanding,215.3016
Institutions Holding Shares,153.0
FCF Growth 5yr,0.5265470889554499
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0464
Operating Profit Margin (TTM),-0.8438
Net Profit Margin (TTM),-0.9335
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.013000000000000001
EPS Growth (TTM),-0.6026
Revenue Growth (MRQ),0.33890000000000003
Revenue Growth (TTM),0.6789000000000001
Return On Equity (TTM),-0.4746
Return On Assets (TTM),-0.4154
Return On Investment (TTM),-0.4678
Revenue Per Employee (TTM),669276.0
Total Debt/Total Capital (MRQ),0.047599999999999996
Change in Debt/Total Capital Quarter over Quarter,0.0106
Quick Ratio (MRQ),2.79
Interest Coverage (MRQ),-36.69
theStreet,rating-box
cfra,
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2019-04-01 00:00:00
cfra since,
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
