,NKE
% Above Low,0.2887
% Held by Institutions,0.7961
52-Wk Range,['82.22 - 173.37']
Annual Dividend $,1.36
Annual Dividend %,0.0128
Ask,105.2
Ask Size,1200.0
B/A Ratio,0.08333333333333333
B/A Size,100x1200
Beta,1.1
Bid,104.73
Bid Size,100.0
Change Since Close,-1.09| |(-1.03%)
Closing Price,105.96
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-28 00:00:00
"EPS (TTM, GAAP)",3.52
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.406
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,104.87
Market Cap,165.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",30.1
Prev Close,105.96
Short Interest,0.0129
Today's Open,
Volume,1594.0
Volume 10-day Avg,6407389.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-20 00:00:00
Growth Analysts,33.0
Growth 1yr Low Est,-0.24216524216524205
Growth 1yr High Est,-0.09090909090909094
Growth 1yr Consensus Est,-0.1665371665371665
Growth 2yr Low Est,-0.023338260180365333
Growth 2yr High Est,0.04204545454545455
Growth 2yr Consensus Est,0.00935359718254461
Growth 5yr Low Est,-0.023338260180365333
Growth 5yr High Est,0.04204545454545455
Growth 5yr Consensus Est,0.00935359718254461
Growth 5yr Actual/Est,0.3345345310811151
Growth 3yr Historic,0.3195926966292135
Price/Earnings (TTM),30.09543
Price/Sales (TTM),3.51617
Price/Book (MRQ),10.47411
Price/Cash Flow (TTM),25.58001
5yr Low,59.24
5yr High,179.1
5yr Avg Return,0.13558333333333336
EPS Growth 5yr,0.0841568
Revenue Growth 5yr,0.06339990000000001
Dividend Growth 5yr,0.11273
Short Int Current Month,16075136.0
Short Int Prev Month,17377903.0
Short Int Pct of Float,0.0129229
Days to Cover,1.93273
Float,1244.045
Shares Outstanding,1564.591
Institutions Holding Shares,2910.0
FCF Growth 5yr,-0.23885436604610336
"Price/Earnings (TTM, GAAP)",30.1
"PEG Ratio (TTM, GAAP)",4.63
Gross Profit Margin (TTM),0.45380000000000004
Operating Profit Margin (TTM),0.1325
Net Profit Margin (TTM),0.11960000000000001
Annual Dividend Yield,0.0128
Dividend Change %,0.11539999999999999
"Dividend Growth Rate, 3 Years",0.11359999999999999
EPS Growth (MRQ),0.026600000000000002
EPS Growth (TTM),-0.0647
Revenue Growth (MRQ),0.037000000000000005
Revenue Growth (TTM),0.0207
Return On Equity (TTM),0.3739
Return On Assets (TTM),0.1428
Return On Investment (TTM),0.1886
Revenue Per Employee (TTM),596068.0
Total Debt/Total Capital (MRQ),0.3735
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),1.76
Interest Coverage (MRQ),130.38
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-17 00:00:00
theStreet since,2022-10-04 00:00:00
cfra since,2022-11-17 00:00:00
ford since,2022-01-21 00:00:00
marketEdge opinion since,
