,NKE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",30.1,21.69,Valuation,1.3877362840018441
Price/Sales (TTM),3.52,3.75,Valuation,0.9386666666666666
Price/Book (MRQ),10.47,9.43,Valuation,1.110286320254507
"PEG Ratio (TTM, GAAP)",4.63,2.33,Valuation,1.9871244635193133
Gross Profit Margin (TTM),0.45380000000000004,0.49729999999999996,Profitability,0.912527649306254
Operating Profit Margin (TTM),0.1325,0.1348,Profitability,0.9829376854599406
Net Profit Margin (TTM),0.11960000000000001,0.0965,Profitability,1.239378238341969
Annual Dividend Yield,0.0128,0.013999999999999999,Dividend,0.9142857142857145
Dividend Change %,0.11539999999999999,0.0796,Dividend,1.4497487437185927
"Dividend Growth Rate, 3 Years",0.11359999999999999,0.059800000000000006,Dividend,1.8996655518394645
EPS Growth (MRQ),0.026600000000000002,0.44920000000000004,Gowth rates,0.059216384683882455
EPS Growth (TTM),-0.0647,0.0931,Gowth rates,-0.6949516648764769
Revenue Growth (MRQ),0.037000000000000005,0.0901,Gowth rates,0.4106548279689235
Revenue Growth (TTM),0.0207,0.1015,Gowth rates,0.20394088669950738
Return On Equity (TTM),0.3739,0.35840000000000005,Effectiveness,1.0432477678571428
Return On Assets (TTM),0.1428,0.14250000000000002,Effectiveness,1.0021052631578946
Return On Investment (TTM),0.1886,0.1893,Effectiveness,0.9963021658742736
Revenue Per Employee (TTM),596068.0,519163.0,Effectiveness,1.1481326673896253
Total Debt/Total Capital (MRQ),0.3735,0.31579999999999997,Financial strength,1.182710576314123
Change in Debt/Total Capital Quarter over Quarter,-0.0008,-0.0002,Financial strength,4.0
Quick Ratio (MRQ),1.76,1.39,Financial strength,1.2661870503597124
Interest Coverage (MRQ),130.38,76.17,Financial strength,1.7116975187081527
