,NET,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.12,Valuation,
Price/Sales (TTM),17.02,19.35,Valuation,0.8795865633074934
Price/Book (MRQ),25.59,19.03,Valuation,1.3447188649500788
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.7681,0.44520000000000004,Profitability,1.7252920035938903
Operating Profit Margin (TTM),-0.2143,0.3027,Profitability,-0.7079616782292698
Net Profit Margin (TTM),-0.2516,0.23600000000000002,Profitability,-1.0661016949152542
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),0.3332,-3.5570999999999997,Gowth rates,-0.09367181130696355
EPS Growth (TTM),0.0054,0.15560000000000002,Gowth rates,0.03470437017994858
Revenue Growth (MRQ),0.0825,0.16460000000000002,Gowth rates,0.5012150668286756
Revenue Growth (TTM),0.5186999999999999,0.2273,Gowth rates,2.2820061592608885
Return On Equity (TTM),-0.3109,0.5459,Effectiveness,-0.5695182267814618
Return On Assets (TTM),-0.0936,0.1131,Effectiveness,-0.8275862068965517
Return On Investment (TTM),-0.1061,0.189,Effectiveness,-0.5613756613756614
Revenue Per Employee (TTM),366450.0,686063.0,Effectiveness,0.5341346202899734
Total Debt/Total Capital (MRQ),0.7073,0.5613,Financial strength,1.260110457865669
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001,0.0048,Financial strength,0.35416666666666674
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),,27.21,Financial strength,
