,NET
% Above Low,0.239
% Held by Institutions,0.8454
52-Wk Range,['37.37 - 205.79']
Annual Dividend $,
Annual Dividend %,
Ask,45.92
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,45.62
Bid Size,100.0
Change Since Close,-0.39| |(-0.84%)
Closing Price,46.3
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.7
Ex-dividend Date,No dividend
Historical Volatility,1.004
Last (size),100.0
Last (time),5:00p ET 11/25/22
Last Trade,45.91
Market Cap,15.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,46.3
Short Interest,0.051399999999999994
Today's Open,
Volume,3624.0
Volume 10-day Avg,5748784.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-2.666666666666667
Growth 1yr High Est,-3.4
Growth 1yr Consensus Est,-3.033333333333333
Growth 2yr Low Est,-1.5333333333333334
Growth 2yr High Est,-0.95
Growth 2yr Consensus Est,-1.2416666666666667
Growth 5yr Low Est,-1.087556561085973
Growth 5yr High Est,-0.8096088435374149
Growth 5yr Consensus Est,-0.948582702311694
Growth 5yr Actual/Est,-1.0424242424242425
Growth 3yr Historic,-0.3333333333333333
Price/Earnings (TTM),
Price/Sales (TTM),17.01678
Price/Book (MRQ),25.59331
Price/Cash Flow (TTM),
5yr Low,14.5
5yr High,221.64
5yr Avg Return,0.8510749999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.5057997000000001
Dividend Growth 5yr,
Short Int Current Month,14487519.0
Short Int Prev Month,12378216.0
Short Int Pct of Float,0.0513807
Days to Cover,1.74046
Float,282.092
Shares Outstanding,328.625
Institutions Holding Shares,817.0
FCF Growth 5yr,0.21298695371306597
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7681
Operating Profit Margin (TTM),-0.2143
Net Profit Margin (TTM),-0.2516
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3332
EPS Growth (TTM),0.0054
Revenue Growth (MRQ),0.0825
Revenue Growth (TTM),0.5186999999999999
Return On Equity (TTM),-0.3109
Return On Assets (TTM),-0.0936
Return On Investment (TTM),-0.1061
Revenue Per Employee (TTM),366450.0
Total Debt/Total Capital (MRQ),0.7073
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2020-11-09 00:00:00
theStreet since,2020-11-09 00:00:00
cfra since,2022-10-13 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
