,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,22.08,88.77,221.64,132.45,,,,,
low,14.5,15.05,60.96,37.37,,,,,
change,-0.052199999999999996,3.4078,0.6955,-0.6468,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,314.0,152.0,143.0,138.0,Balance Sheet
Short Term Investments,,,,,1508.0,1573.0,1499.0,1498.0,Balance Sheet
Cash and Short Term Invs,,,,,1822.0,1725.0,1642.0,1636.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,98.0,129.0,125.0,127.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-3.0,-3.0,-3.0,0.0,Balance Sheet
"Total Receivables, Net",,,,,102.0,132.0,129.0,134.0,Balance Sheet
Prepaid Expenses,,,,,29.0,35.0,33.0,35.0,Balance Sheet
"Other Curr. Assets, Total",,,,,3.0,2.0,9.0,11.0,Balance Sheet
Total Current Assets,,,,,1956.0,1895.0,1814.0,1816.0,Balance Sheet
Buildings,,,,,13.0,17.0,19.0,20.0,Balance Sheet
Machinery/Equipment,,,,,243.0,279.0,308.0,347.0,Balance Sheet
Construction in Progress,,,,,41.0,37.0,67.0,66.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,137.0,147.0,140.0,141.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,434.0,480.0,534.0,573.0,Balance Sheet
Accumulated Depreciation,,,,,-120.0,-138.0,-157.0,-176.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,314.0,341.0,377.0,397.0,Balance Sheet
"Goodwill, Net",,,,,24.0,28.0,149.0,149.0,Balance Sheet
Intangibles - Gross,,,,,7.0,10.0,53.0,53.0,Balance Sheet
Accum. Intangible Amort.,,,,,-6.0,-6.0,-11.0,-16.0,Balance Sheet
Intangibles - Net,,,,,1.0,4.0,42.0,37.0,Balance Sheet
Deferred Charges,,,,,70.0,76.0,81.0,87.0,Balance Sheet
Restricted Cash - LT,,,,,4.0,6.0,2.0,0.0,Balance Sheet
Other Long Term Assets,,,,,3.0,3.0,4.0,3.0,Balance Sheet
Total Assets,,,,,2372.0,2354.0,2468.0,2491.0,Balance Sheet
