,RCM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",96.08,29.13,Valuation,3.2983178853415724
Price/Sales (TTM),1.94,1.32,Valuation,1.4696969696969695
Price/Book (MRQ),1.18,4.31,Valuation,0.2737819025522042
"PEG Ratio (TTM, GAAP)",5.55,0.26,Valuation,21.346153846153843
Gross Profit Margin (TTM),0.21420000000000003,0.1318,Profitability,1.6251896813353568
Operating Profit Margin (TTM),0.034300000000000004,0.0458,Profitability,0.7489082969432316
Net Profit Margin (TTM),0.009300000000000001,0.0242,Profitability,0.3842975206611571
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),-0.0201,-0.1478,Gowth rates,0.13599458728010827
EPS Growth (TTM),1.0394,-1.101,Gowth rates,-0.9440508628519528
Revenue Growth (MRQ),0.2656,0.0931,Gowth rates,2.852846401718582
Revenue Growth (TTM),0.1912,0.1191,Gowth rates,1.6053736356003359
Return On Equity (TTM),0.01,7.2022,Effectiveness,0.001388464635805726
Return On Assets (TTM),0.0047,0.0403,Effectiveness,0.11662531017369727
Return On Investment (TTM),0.005200000000000001,0.016,Effectiveness,0.325
Revenue Per Employee (TTM),163971.0,1375304.0,Effectiveness,0.11922527673881557
Total Debt/Total Capital (MRQ),0.3911,0.4855,Financial strength,0.8055612770339856
Change in Debt/Total Capital Quarter over Quarter,-0.0034999999999999996,0.0015,Financial strength,-2.333333333333333
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),1.23,9.55,Financial strength,0.1287958115183246
