,RCM
% Above Low,0.1408
% Held by Institutions,0.8445999999999999
52-Wk Range,['6.71 - 27.86']
Annual Dividend $,
Annual Dividend %,
Ask,7.66
Ask Size,700.0
B/A Ratio,1.1428571428571428
B/A Size,800x700
Beta,0.8
Bid,7.65
Bid Size,800.0
Day Change $,-0.145
Day Change %,-0.018600000000000002
Day High,7.91
Day Low,7.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.08
Ex-dividend Date,No dividend
Historical Volatility,0.8590000000000001
Last (size),100.0
Last (time),12:24p ET 11/28/22
Market Cap,3.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",96.08
Prev Close,7.8
Price,7.66
Short Interest,0.0581
Today's Open,7.78
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.92
Growth 2yr High Est,-7.888888888888889
Growth 2yr Consensus Est,-4.404444444444445
Growth 5yr Low Est,-0.92
Growth 5yr High Est,-7.888888888888889
Growth 5yr Consensus Est,-4.404444444444445
Growth 5yr Actual/Est,-3.9572379905041193
Growth 3yr Historic,-2.940340909090909
Price/Earnings (TTM),96.08278
Price/Sales (TTM),1.94247
Price/Book (MRQ),1.17719
Price/Cash Flow (TTM),22.561
5yr Low,3.71
5yr High,31.28
5yr Avg Return,0.29796666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.2000209
Dividend Growth 5yr,
Short Int Current Month,12147212.0
Short Int Prev Month,10983201.0
Short Int Pct of Float,0.0581259
Days to Cover,1.31261
Float,303.1204
Shares Outstanding,416.5109
Institutions Holding Shares,350.0
FCF Growth 5yr,-2.3456129232069274
"Price/Earnings (TTM, GAAP)",96.08
"PEG Ratio (TTM, GAAP)",5.55
Gross Profit Margin (TTM),0.21420000000000003
Operating Profit Margin (TTM),0.034300000000000004
Net Profit Margin (TTM),0.009300000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0201
EPS Growth (TTM),1.0394
Revenue Growth (MRQ),0.2656
Revenue Growth (TTM),0.1912
Return On Equity (TTM),0.01
Return On Assets (TTM),0.0047
Return On Investment (TTM),0.005200000000000001
Revenue Per Employee (TTM),163971.0
Total Debt/Total Capital (MRQ),0.3911
Change in Debt/Total Capital Quarter over Quarter,-0.0034999999999999996
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.23
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-22 00:00:00
theStreet since,2022-11-22 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
