,INFN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.06,Valuation,
Price/Sales (TTM),0.96,5.09,Valuation,0.18860510805500982
Price/Book (MRQ),12.46,4.51,Valuation,2.7627494456762753
"PEG Ratio (TTM, GAAP)",,2.07,Valuation,
Gross Profit Margin (TTM),0.3346,0.5751,Profitability,0.581811858807164
Operating Profit Margin (TTM),-0.053899999999999997,0.2231,Profitability,-0.2415956969968624
Net Profit Margin (TTM),-0.0958,0.1819,Profitability,-0.5266630016492578
Annual Dividend Yield,,0.0201,Dividend,
Dividend Change %,,0.052300000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0484,Dividend,
EPS Growth (MRQ),0.788,-0.16579999999999998,Gowth rates,-4.752714113389627
EPS Growth (TTM),0.07110000000000001,0.1262,Gowth rates,0.5633914421553091
Revenue Growth (MRQ),0.0907,0.1365,Gowth rates,0.6644688644688644
Revenue Growth (TTM),0.0791,0.0862,Gowth rates,0.9176334106728539
Return On Equity (TTM),-0.6274000000000001,0.195,Effectiveness,-3.2174358974358976
Return On Assets (TTM),-0.094,0.1241,Effectiveness,-0.7574536663980661
Return On Investment (TTM),-0.1474,0.1684,Effectiveness,-0.8752969121140143
Revenue Per Employee (TTM),461260.0,688581.0,Effectiveness,0.6698703565738816
Total Debt/Total Capital (MRQ),0.8539,0.36450000000000005,Financial strength,2.3426611796982164
Change in Debt/Total Capital Quarter over Quarter,0.0045000000000000005,0.0002,Financial strength,22.5
Quick Ratio (MRQ),1.13,1.51,Financial strength,0.7483443708609271
Interest Coverage (MRQ),-1.3,1.83,Financial strength,-0.7103825136612022
