,INFN
% Above Low,0.5276
% Held by Institutions,0.9756999999999999
52-Wk Range,['4.26 - 9.86']
Annual Dividend $,
Annual Dividend %,
Ask,6.85
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,6.49
Bid Size,100.0
Closing Price,6.5
Day Change $,0.07
Day Change %,0.0109
Day High,6.59
Day Low,6.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.67
Ex-dividend Date,No dividend
Historical Volatility,0.61
Last (size),90.0
Last (time),1:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,6.43
Short Interest,0.17620000000000002
Today's Open,6.4
Volume,418315.0
Volume 10-day Avg,1726368.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-1.0
Growth 1yr High Est,-2.25
Growth 1yr Consensus Est,-1.625
Growth 2yr Low Est,inf
Growth 2yr High Est,2.175
Growth 2yr Consensus Est,inf
Growth 5yr Low Est,inf
Growth 5yr High Est,2.175
Growth 5yr Consensus Est,inf
Growth 5yr Actual/Est,1.4442982456140352
Growth 3yr Historic,-0.3682017543859649
Price/Earnings (TTM),
Price/Sales (TTM),0.96018
Price/Book (MRQ),12.45707
Price/Cash Flow (TTM),
5yr Low,2.8
5yr High,12.39
5yr Avg Return,0.06923333333333331
EPS Growth 5yr,
Revenue Growth 5yr,0.103718
Dividend Growth 5yr,
Short Int Current Month,38181407.0
Short Int Prev Month,37168816.0
Short Int Pct of Float,0.1761669
Days to Cover,10.90084
Float,216.8114
Shares Outstanding,219.7438
Institutions Holding Shares,257.0
FCF Growth 5yr,101.83585150957013
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3346
Operating Profit Margin (TTM),-0.053899999999999997
Net Profit Margin (TTM),-0.0958
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.788
EPS Growth (TTM),0.07110000000000001
Revenue Growth (MRQ),0.0907
Revenue Growth (TTM),0.0791
Return On Equity (TTM),-0.6274000000000001
Return On Assets (TTM),-0.094
Return On Investment (TTM),-0.1474
Revenue Per Employee (TTM),461260.0
Total Debt/Total Capital (MRQ),0.8539
Change in Debt/Total Capital Quarter over Quarter,0.0045000000000000005
Quick Ratio (MRQ),1.13
Interest Coverage (MRQ),-1.3
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2017-05-16 00:00:00
researchTeam since,2017-02-10 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-03-18 00:00:00
cfra since,
marketEdge opinion since,
