,EVBG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),2.95,9.39,Valuation,0.3141640042598509
Price/Book (MRQ),5.02,12.63,Valuation,0.39746634996041164
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.6851,0.7206,Profitability,0.9507354981959478
Operating Profit Margin (TTM),-0.1931,0.2172,Profitability,-0.8890423572744014
Net Profit Margin (TTM),-0.2104,0.1553,Profitability,-1.354797166773986
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.3924,-0.0752,Gowth rates,-5.218085106382979
EPS Growth (TTM),0.24280000000000002,-0.2824,Gowth rates,-0.859773371104816
Revenue Growth (MRQ),0.0817,0.15560000000000002,Gowth rates,0.525064267352185
Revenue Growth (TTM),0.2238,0.1906,Gowth rates,1.174186778593914
Return On Equity (TTM),-0.27280000000000004,0.2189,Effectiveness,-1.2462311557788945
Return On Assets (TTM),-0.0645,0.10740000000000001,Effectiveness,-0.6005586592178771
Return On Investment (TTM),-0.0806,0.1387,Effectiveness,-0.5811103100216295
Revenue Per Employee (TTM),213929.0,667721.0,Effectiveness,0.32038680826273247
Total Debt/Total Capital (MRQ),0.7681,0.39659999999999995,Financial strength,1.9367120524457895
Change in Debt/Total Capital Quarter over Quarter,0.0023,0.0004,Financial strength,5.75
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
