,CODI
% Above Low,0.1241
% Held by Institutions,0.4781
52-Wk Range,['17.08 - 33.31']
Annual Dividend $,1.0
Annual Dividend %,0.0521
Ask,21.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,18.73
Bid Size,100.0
Closing Price,19.2
Day Change $,-0.01
Day Change %,-0.0005
Day High,19.38
Day Low,19.12
Dividend Pay Date,2022-10-27 00:00:00
"EPS (TTM, GAAP)",0.01
Ex-dividend,2022-10-19 00:00:00
Ex-dividend Date,10/19/22
Historical Volatility,0.405
Last (size),29.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",1300.81
Prev Close,19.21
Short Interest,0.0208
Today's Open,19.27
Volume,85717.0
Volume 10-day Avg,197878.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.2145593869731801
Growth 1yr High Est,-0.17279411764705888
Growth 1yr Consensus Est,-0.1936767523101195
Growth 2yr Low Est,-0.09020652275488261
Growth 2yr High Est,-0.021952614379085023
Growth 2yr Consensus Est,-0.05607956856698382
Growth 5yr Low Est,-0.09020652275488261
Growth 5yr High Est,-0.021952614379085023
Growth 5yr Consensus Est,-0.05607956856698382
Growth 5yr Actual/Est,0.10737457318027005
Growth 3yr Historic,0.13857963875205254
Price/Earnings (TTM),1300.813
Price/Sales (TTM),0.64825
Price/Book (MRQ),1.59777
Price/Cash Flow (TTM),7.83477
5yr Low,10.78
5yr High,33.31
5yr Avg Return,0.11876666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.1348725
Dividend Growth 5yr,0.0
Short Int Current Month,1123749.0
Short Int Prev Month,1435249.0
Short Int Pct of Float,0.020799400000000003
Days to Cover,4.24458
Float,62.09862
Shares Outstanding,72.20273
Institutions Holding Shares,228.0
FCF Growth 5yr,-0.25708127069468584
"Price/Earnings (TTM, GAAP)",1300.81
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3951
Operating Profit Margin (TTM),0.07940000000000001
Net Profit Margin (TTM),0.028399999999999998
Annual Dividend Yield,0.0521
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-1.48
EPS Growth (TTM),1.0228
Revenue Growth (MRQ),0.0652
Revenue Growth (TTM),0.23870000000000002
Return On Equity (TTM),0.0027
Return On Assets (TTM),0.0182
Return On Investment (TTM),0.021800000000000003
Revenue Per Employee (TTM),538943.0
Total Debt/Total Capital (MRQ),0.5631
Change in Debt/Total Capital Quarter over Quarter,0.0018
Quick Ratio (MRQ),1.24
Interest Coverage (MRQ),2.36
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-27 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-09-27 00:00:00
