,CLNE
% Below High,0.266
% Held by Institutions,0.46159999999999995
52-Wk Range,['4.02 - 8.65']
Annual Dividend $,
Annual Dividend %,
Ask,6.34
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,2.1
Bid,6.22
Bid Size,200.0
Closing Price,6.35
Day Change $,0.08
Day Change %,0.0128
Day High,6.39
Day Low,6.17
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.22
Ex-dividend Date,No dividend
Historical Volatility,0.743
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,6.27
Short Interest,0.0704
Today's Open,6.28
Volume,571533.0
Volume 10-day Avg,2162542.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.6666666666666667
Growth 1yr High Est,-0.16666666666666663
Growth 1yr Consensus Est,-0.4166666666666667
Growth 2yr Low Est,1.5
Growth 2yr High Est,0.8166666666666669
Growth 2yr Consensus Est,1.1583333333333334
Growth 5yr Low Est,2.590909090909091
Growth 5yr High Est,-0.6416666666666667
Growth 5yr Consensus Est,0.9746212121212121
Growth 5yr Actual/Est,-0.8875
Growth 3yr Historic,-0.825
Price/Earnings (TTM),
Price/Sales (TTM),3.5458
Price/Book (MRQ),1.95881
Price/Cash Flow (TTM),368.393
5yr Low,1.05
5yr High,19.79
5yr Avg Return,0.37465
EPS Growth 5yr,
Revenue Growth 5yr,-0.0868524
Dividend Growth 5yr,
Short Int Current Month,12093557.0
Short Int Prev Month,12218364.0
Short Int Pct of Float,0.0703824
Days to Cover,4.1727
Float,176.1115
Shares Outstanding,222.4281
Institutions Holding Shares,270.0
FCF Growth 5yr,-2.9378574714261556
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.28190000000000004
Operating Profit Margin (TTM),-0.11710000000000001
Net Profit Margin (TTM),-0.12460000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.32130000000000003
EPS Growth (TTM),0.5143
Revenue Growth (MRQ),0.2928
Revenue Growth (TTM),0.6689
Return On Equity (TTM),-0.0665
Return On Assets (TTM),-0.0534
Return On Investment (TTM),-0.061500000000000006
Revenue Per Employee (TTM),826423.0
Total Debt/Total Capital (MRQ),0.0417
Change in Debt/Total Capital Quarter over Quarter,-0.0023
Quick Ratio (MRQ),2.38
Interest Coverage (MRQ),-22.77
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-02 00:00:00
ford since,2022-09-02 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-08-18 00:00:00
