,EXAS
% Above Low,0.4571
% Held by Institutions,0.87
52-Wk Range,['29.27 - 90.39']
Annual Dividend $,
Annual Dividend %,
Ask,43.21
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,42.2
Bid Size,100.0
Closing Price,42.65
Day Change $,-0.44
Day Change %,-0.0102
Day High,43.02
Day Low,42.09
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.1
Ex-dividend Date,No dividend
Historical Volatility,0.6859999999999999
Last (size),5.0
Last (time),12:59p ET 11/25/22
Market Cap,7.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,43.09
Short Interest,0.056299999999999996
Today's Open,42.72
Volume,420917.0
Volume 10-day Avg,1899699.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.05384615384615388
Growth 2yr High Est,-0.40522875816993464
Growth 2yr Consensus Est,-0.22953745600804426
Growth 5yr Low Est,-0.05384615384615388
Growth 5yr High Est,-0.40522875816993464
Growth 5yr Consensus Est,-0.22953745600804426
Growth 5yr Actual/Est,1.7888643771570616
Growth 3yr Historic,1.8464864639037433
Price/Earnings (TTM),
Price/Sales (TTM),3.77948
Price/Book (MRQ),2.43189
Price/Cash Flow (TTM),
5yr Low,29.27
5yr High,159.54
5yr Avg Return,0.02765000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.7782601
Dividend Growth 5yr,
Short Int Current Month,9915478.0
Short Int Prev Month,10180434.0
Short Int Pct of Float,0.056304
Days to Cover,3.1059
Float,176.1246
Shares Outstanding,177.684
Institutions Holding Shares,680.0
FCF Growth 5yr,0.18596423114495406
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7275
Operating Profit Margin (TTM),-0.3472
Net Profit Margin (TTM),-0.35729999999999995
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.10740000000000001
EPS Growth (TTM),0.1565
Revenue Growth (MRQ),0.0027
Revenue Growth (TTM),0.13949999999999999
Return On Equity (TTM),-0.2182
Return On Assets (TTM),-0.11050000000000001
Return On Investment (TTM),-0.1211
Revenue Per Employee (TTM),312320.0
Total Debt/Total Capital (MRQ),0.4194
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),2.2
Interest Coverage (MRQ),-9.56
theStreet,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
theStreet since,2021-02-25 00:00:00
researchTeam since,2021-02-25 00:00:00
cfra since,2022-11-07 00:00:00
ford since,2022-04-29 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
