,EXAS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),3.78,45.03,Valuation,0.08394403730846102
Price/Book (MRQ),2.43,12.61,Valuation,0.19270420301348137
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.7275,0.5874,Profitability,1.238508682328907
Operating Profit Margin (TTM),-0.3472,-4.7459,Profitability,0.07315788364693736
Net Profit Margin (TTM),-0.35729999999999995,-4.5467,Profitability,0.07858446785580749
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.10740000000000001,-0.0014000000000000002,Gowth rates,-76.71428571428571
EPS Growth (TTM),0.1565,0.027200000000000002,Gowth rates,5.753676470588235
Revenue Growth (MRQ),0.0027,1.3963999999999999,Gowth rates,0.0019335433973073622
Revenue Growth (TTM),0.13949999999999999,0.9747,Gowth rates,0.14312096029547552
Return On Equity (TTM),-0.2182,0.1967,Effectiveness,-1.1093035078800202
Return On Assets (TTM),-0.11050000000000001,0.0016,Effectiveness,-69.0625
Return On Investment (TTM),-0.1211,0.0219,Effectiveness,-5.529680365296803
Revenue Per Employee (TTM),312320.0,1476201.0,Effectiveness,0.21157010461312517
Total Debt/Total Capital (MRQ),0.4194,0.4675,Financial strength,0.8971122994652406
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001,0.0036,Financial strength,0.19444444444444448
Quick Ratio (MRQ),2.2,2.06,Financial strength,1.0679611650485437
Interest Coverage (MRQ),-9.56,2.69,Financial strength,-3.5539033457249074
