,ASH
Price/Earnings (TTM),34.07836
Price/Sales (TTM),2.52854
Price/Book (MRQ),1.87323
Price/Cash Flow (TTM),14.29853
5yr Low,38.88
5yr High,112.99
5yr Avg Return,0.08583333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.0070038
Dividend Growth 5yr,0.0064211
Short Int Current Month,752639.0
Short Int Prev Month,838213.0
Short Int Pct of Float,0.0139682
Days to Cover,1.38078
Float,53.94787
Shares Outstanding,54.14753
Institutions Holding Shares,436.0
% Held by Institutions,0.960295
FCF Growth 5yr,3.729919507669553
