,ASH
% Below High,0.011399999999999999
% Held by Institutions,0.9603
52-Wk Range,['83.29 - 112.99']
Annual Dividend $,1.34
Annual Dividend %,0.012
Ask,112.19
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,93.0
Bid Size,200.0
Closing Price,111.7
Day Change $,0.18
Day Change %,0.0016
Day High,112.52
Day Low,111.44
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",3.28
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.289
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,6.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",34.08
Prev Close,111.52
Short Interest,0.013999999999999999
Today's Open,111.71
Volume,70475.0
Volume 10-day Avg,382534.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.005597014925373012
Growth 1yr High Est,0.132996632996633
Growth 1yr Consensus Est,0.069296823961003
Growth 2yr Low Est,0.0037261512474732195
Growth 2yr High Est,0.1341060430956419
Growth 2yr Consensus Est,0.06891609717155756
Growth 5yr Low Est,0.0037261512474732195
Growth 5yr High Est,0.1341060430956419
Growth 5yr Consensus Est,0.06891609717155756
Growth 5yr Actual/Est,0.27100627474483313
Growth 3yr Historic,0.2148214285714286
Price/Earnings (TTM),34.07836
Price/Sales (TTM),2.52854
Price/Book (MRQ),1.87323
Price/Cash Flow (TTM),14.29853
5yr Low,38.88
5yr High,112.99
5yr Avg Return,0.08583333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.0070038
Dividend Growth 5yr,0.0064211
Short Int Current Month,752639.0
Short Int Prev Month,838213.0
Short Int Pct of Float,0.0139682
Days to Cover,1.38078
Float,53.94787
Shares Outstanding,54.14753
Institutions Holding Shares,436.0
FCF Growth 5yr,3.729919507669553
"Price/Earnings (TTM, GAAP)",34.08
"PEG Ratio (TTM, GAAP)",3.22
Gross Profit Margin (TTM),0.34740000000000004
Operating Profit Margin (TTM),0.13
Net Profit Margin (TTM),0.0761
Annual Dividend Yield,0.012
Dividend Change %,0.1043
"Dividend Growth Rate, 3 Years",0.0655
EPS Growth (MRQ),0.2209
EPS Growth (TTM),0.6628000000000001
Revenue Growth (MRQ),-0.018600000000000002
Revenue Growth (TTM),0.2965
Return On Equity (TTM),0.060599999999999994
Return On Assets (TTM),0.028399999999999998
Return On Investment (TTM),0.032100000000000004
Revenue Per Employee (TTM),613333.0
Total Debt/Total Capital (MRQ),0.2829
Change in Debt/Total Capital Quarter over Quarter,-0.0031
Quick Ratio (MRQ),2.06
Interest Coverage (MRQ),1.22
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-10-14 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-04-27 00:00:00
