,WAT
% Below High,0.11630000000000001
% Held by Institutions,0.8959999999999999
52-Wk Range,['265.61 - 375.24']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,331.24
Bid Size,
Closing Price,331.6
Day Change $,-6.43
Day Change %,-0.019
Day High,338.25
Day Low,329.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",11.47
Ex-dividend Date,No dividend
Historical Volatility,0.337
Last (size),195.0
Last (time),7:00p ET 11/28/22
Market Cap,19.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.48
Prev Close,338.03
Short Interest,0.0253
Today's Open,336.35
Volume,294395.0
Volume 10-day Avg,277948.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.08302919708029188
Growth 1yr High Est,0.07837837837837847
Growth 1yr Consensus Est,0.08070378772933517
Growth 2yr Low Est,0.05752133822001115
Growth 2yr High Est,0.08221341642394275
Growth 2yr Consensus Est,0.06986737732197695
Growth 5yr Low Est,0.09298085259624411
Growth 5yr High Est,0.10395901937318897
Growth 5yr Consensus Est,0.09846993598471654
Growth 5yr Actual/Est,0.09307181165865541
Growth 3yr Historic,0.06106078577179058
Price/Earnings (TTM),29.48048
Price/Sales (TTM),6.80754
Price/Book (MRQ),52.23883
Price/Cash Flow (TTM),24.19938
5yr Low,154.39
5yr High,428.22
5yr Avg Return,0.10903333333333334
EPS Growth 5yr,0.1176378
Revenue Growth 5yr,0.0514862
Dividend Growth 5yr,
Short Int Current Month,1494706.0
Short Int Prev Month,1478058.0
Short Int Pct of Float,0.0253044
Days to Cover,3.86308
Float,59.07746
Shares Outstanding,59.40758
Institutions Holding Shares,974.0
FCF Growth 5yr,0.004717194147245955
"Price/Earnings (TTM, GAAP)",29.48
"PEG Ratio (TTM, GAAP)",3.43
Gross Profit Margin (TTM),0.5759000000000001
Operating Profit Margin (TTM),0.2879
Net Profit Margin (TTM),0.23629999999999998
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.047
EPS Growth (TTM),0.0282
Revenue Growth (MRQ),-0.008100000000000001
Revenue Growth (TTM),0.0781
Return On Equity (TTM),2.0484
Return On Assets (TTM),0.22530000000000003
Return On Investment (TTM),0.2915
Revenue Per Employee (TTM),378192.0
Total Debt/Total Capital (MRQ),0.8004000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),1.55
Interest Coverage (MRQ),20.16
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2020-10-19 00:00:00
theStreet since,2022-11-08 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-12-11 00:00:00
ford since,2022-04-29 00:00:00
marketEdge opinion since,
