,GFF
% Below High,0.0044
% Held by Institutions,0.7437
52-Wk Range,['17.56 - 36.75']
Annual Dividend $,0.4
Annual Dividend %,0.0109
Ask,36.95
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,36.33
Bid Size,100.0
Closing Price,36.59
Day Change $,0.35
Day Change %,0.0097
Day High,36.75
Day Low,36.05
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",-5.6
Ex-dividend,2022-11-28 00:00:00
Ex-dividend Date,11/28/22
Historical Volatility,0.512
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,36.24
Short Interest,0.024
Today's Open,36.33
Volume,163201.0
Volume 10-day Avg,454940.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.9565217391304348
Growth 1yr High Est,0.855
Growth 1yr Consensus Est,0.9057608695652174
Growth 2yr Low Est,0.43103864734299513
Growth 2yr High Est,0.450411051212938
Growth 2yr Consensus Est,0.44072484927796657
Growth 5yr Low Est,0.26039111854329244
Growth 5yr High Est,0.27823582863677204
Growth 5yr Consensus Est,0.26931347359003227
Growth 5yr Actual/Est,0.312474963684641
Growth 3yr Historic,0.33408004778972517
Price/Earnings (TTM),
Price/Sales (TTM),0.73301
Price/Book (MRQ),4.37207
Price/Cash Flow (TTM),
5yr Low,9.15
5yr High,36.68
5yr Avg Return,0.17866666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.1331022
Dividend Growth 5yr,0.0844718
Short Int Current Month,1102045.0
Short Int Prev Month,1344579.0
Short Int Pct of Float,0.023989600000000003
Days to Cover,3.50024
Float,46.49188
Shares Outstanding,57.06433
Institutions Holding Shares,282.0
FCF Growth 5yr,-0.2945126945126946
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.33170000000000005
Operating Profit Margin (TTM),-0.068
Net Profit Margin (TTM),-0.10099999999999999
Annual Dividend Yield,0.010900000000000002
Dividend Change %,0.125
"Dividend Growth Rate, 3 Years",0.0747
EPS Growth (MRQ),-9.1423
EPS Growth (TTM),-5.563400000000001
Revenue Growth (MRQ),-0.0771
Revenue Growth (TTM),0.3694
Return On Equity (TTM),-0.4479
Return On Assets (TTM),-0.1061
Return On Investment (TTM),-0.1288
Revenue Per Employee (TTM),459434.0
Total Debt/Total Capital (MRQ),0.7672
Change in Debt/Total Capital Quarter over Quarter,0.0039000000000000003
Quick Ratio (MRQ),1.29
Interest Coverage (MRQ),4.08
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-11-18 00:00:00
researchTeam since,2022-11-18 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
