,SB
Next Earnings Announcement,2023-03-08 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.008130081300813052
Growth 1yr High Est,0.0620155038759691
Growth 1yr Consensus Est,0.026942711287578025
Growth 2yr Low Est,-0.13111422097827535
Growth 2yr High Est,-0.041984948791942533
Growth 2yr Consensus Est,-0.08654958488510894
Growth 5yr Low Est,-0.13111422097827535
Growth 5yr High Est,-0.041984948791942533
Growth 5yr Consensus Est,-0.08654958488510894
Growth 5yr Actual/Est,-3.056486568986569
Growth 3yr Historic,-3.0125
