,SB
% Above Low,0.19940000000000002
% Held by Institutions,0.262
52-Wk Range,['2.35 - 5.12']
Annual Dividend $,0.2
Annual Dividend %,0.068
Ask,2.83
Ask Size,6300.0
B/A Ratio,0.36507936507936506
B/A Size,2300x6300
Beta,0.9
Bid,2.82
Bid Size,2300.0
Day Change $,-0.12
Day Change %,-0.0408
Day High,2.98
Day Low,2.77
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.59
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.531
Last (size),100.0
Last (time),1:39p ET 11/28/22
Market Cap,335.2M
"P/E Ratio (TTM, GAAP)",1.85
Prev Close,2.94
Price,2.82
Short Interest,0.0434
Today's Open,2.98
Volume Past Day,(Average)
Next Earnings Announcement,2023-03-08 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.008130081300813052
Growth 1yr High Est,0.0620155038759691
Growth 1yr Consensus Est,0.026942711287578025
Growth 2yr Low Est,-0.13111422097827535
Growth 2yr High Est,-0.041984948791942533
Growth 2yr Consensus Est,-0.08654958488510894
Growth 5yr Low Est,-0.13111422097827535
Growth 5yr High Est,-0.041984948791942533
Growth 5yr Consensus Est,-0.08654958488510894
Growth 5yr Actual/Est,-3.056486568986569
Growth 3yr Historic,-3.0125
Price/Earnings (TTM),1.84714
Price/Sales (TTM),0.98304
Price/Book (MRQ),0.46786
Price/Cash Flow (TTM),1.43902
5yr Low,0.74
5yr High,5.44
5yr Avg Return,0.15740000000000004
EPS Growth 5yr,
Revenue Growth 5yr,0.2455152
Dividend Growth 5yr,
Short Int Current Month,3055784.0
Short Int Prev Month,3254190.0
Short Int Pct of Float,0.0433525
Days to Cover,2.94336
Float,70.48689
Shares Outstanding,118.8683
Institutions Holding Shares,136.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",1.85
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7615999999999999
Operating Profit Margin (TTM),0.5922999999999999
Net Profit Margin (TTM),0.5707
Annual Dividend Yield,0.068
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0286
EPS Growth (TTM),0.7049
Revenue Growth (MRQ),0.023100000000000002
Revenue Growth (TTM),0.2309
Return On Equity (TTM),0.2833
Return On Assets (TTM),0.1754
Return On Investment (TTM),0.1843
Revenue Per Employee (TTM),450003.0
Total Debt/Total Capital (MRQ),0.36920000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),18.43
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-02-10 00:00:00
theStreet since,2021-02-10 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
