,TNET
% Above Low,0.1629
% Held by Institutions,0.9397
52-Wk Range,['60.61 - 104.56']
Annual Dividend $,
Annual Dividend %,
Ask,71.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,68.17
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,70.48
Day Change $,-0.3
Day Change %,-0.0042
Day High,71.21
Day Low,70.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.81
Ex-dividend Date,No dividend
Historical Volatility,0.365
Last (size),289.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,4.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.18
Prev Close,70.78
Short Interest,0.0248
Today's Open,70.32
Volume,261037.0
Volume 10-day Avg,264957.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-13 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.46634615384615374
Growth 1yr High Est,0.4559819413092552
Growth 1yr Consensus Est,0.46116404757770446
Growth 2yr Low Est,0.07989438839848678
Growth 2yr High Est,0.19310724972439502
Growth 2yr Consensus Est,0.1365008190614409
Growth 5yr Low Est,0.10509870935075857
Growth 5yr High Est,0.1732497900539379
Growth 5yr Consensus Est,0.13917424970234824
Growth 5yr Actual/Est,0.1373591281905952
Growth 3yr Historic,0.15090090090090091
Price/Earnings (TTM),12.17532
Price/Sales (TTM),0.90056
Price/Book (MRQ),5.14557
Price/Cash Flow (TTM),9.41164
5yr Low,27.79
5yr High,109.4
5yr Avg Return,0.10551666666666668
EPS Growth 5yr,0.4267875
Revenue Growth 5yr,0.0820766
Dividend Growth 5yr,
Short Int Current Month,1439288.0
Short Int Prev Month,1804431.0
Short Int Pct of Float,0.024804499999999997
Days to Cover,3.27896
Float,58.19461
Shares Outstanding,62.23013
Institutions Holding Shares,344.0
FCF Growth 5yr,-0.3327094863321132
"Price/Earnings (TTM, GAAP)",12.18
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2263
Operating Profit Margin (TTM),0.1092
Net Profit Margin (TTM),0.0771
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0941
EPS Growth (TTM),0.3354
Revenue Growth (MRQ),0.0342
Revenue Growth (TTM),0.11900000000000001
Return On Equity (TTM),0.4529
Return On Assets (TTM),0.1226
Return On Investment (TTM),0.24550000000000002
Revenue Per Employee (TTM),1746786.0
Total Debt/Total Capital (MRQ),0.3669
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),7.88
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-09-16 00:00:00
theStreet since,2020-06-08 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
