,MLKN
% Above Low,0.473
% Held by Institutions,0.9605
52-Wk Range,['15.54 - 41.69']
Annual Dividend $,0.75
Annual Dividend %,0.032799999999999996
Ask,25.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,16.0
Bid Size,100.0
Closing Price,22.89
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-15 00:00:00
"EPS (TTM, GAAP)",0.79
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.485
Last (size),36.0
Last (time),1:00p ET 11/25/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",28.93
Prev Close,22.89
Short Interest,0.0553
Today's Open,
Volume,114988.0
Volume 10-day Avg,481589.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.24324324324324298
Growth 2yr High Est,0.26905829596412567
Growth 2yr Consensus Est,0.2561507696036843
Growth 5yr Low Est,0.24324324324324298
Growth 5yr High Est,0.26905829596412567
Growth 5yr Consensus Est,0.2561507696036843
Growth 5yr Actual/Est,0.048211495962637935
Growth 3yr Historic,-0.03689033861447652
Price/Earnings (TTM),28.92818
Price/Sales (TTM),0.40837
Price/Book (MRQ),1.25798
Price/Cash Flow (TTM),7.26066
5yr Low,14.39
5yr High,51.25
5yr Avg Return,-0.026083333333333337
EPS Growth 5yr,
Revenue Growth 5yr,0.1161255
Dividend Growth 5yr,-0.0307287
Short Int Current Month,4144308.0
Short Int Prev Month,4474002.0
Short Int Pct of Float,0.0553232
Days to Cover,6.7038
Float,75.08656
Shares Outstanding,75.55659
Institutions Holding Shares,315.0
FCF Growth 5yr,-0.059477980566313406
"Price/Earnings (TTM, GAAP)",28.93
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3417
Operating Profit Margin (TTM),0.0339
Net Profit Margin (TTM),0.016
Annual Dividend Yield,0.032799999999999996
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",-0.1003
EPS Growth (MRQ),0.014499999999999999
EPS Growth (TTM),0.0442
Revenue Growth (MRQ),-0.0197
Revenue Growth (TTM),0.6115
Return On Equity (TTM),0.0422
Return On Assets (TTM),0.0152
Return On Investment (TTM),0.0189
Revenue Per Employee (TTM),374788.0
Total Debt/Total Capital (MRQ),0.5063000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0015
Quick Ratio (MRQ),0.93
Interest Coverage (MRQ),13.2
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-03-18 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
