,OMCL
% Above Low,0.12689999999999999
% Held by Institutions,1.0243
52-Wk Range,['46.19 - 185.28']
Annual Dividend $,
Annual Dividend %,
Ask,54.11
Ask Size,100.0
Ask close,64.21
B/A Ratio,4.0
B/A Size,400x100
Beta,0.9
Bid,50.17
Bid Size,400.0
Bid close,40.2
Change Since Close,0.00| |(0.00%)
Closing Price,52.05
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.01
Ex-dividend Date,No dividend
Historical Volatility,0.5710000000000001
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,52.05
Market Cap,2.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",51.43
Prev Close,52.05
Short Interest,0.0723
Today's Open,
Volume,17.0
Volume 10-day Avg,589775.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-13 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.3058510638297872
Growth 1yr High Est,-0.3044554455445545
Growth 1yr Consensus Est,-0.30515325468717086
Growth 2yr Low Est,-0.4977531181217902
Growth 2yr High Est,-0.16646259821711712
Growth 2yr Consensus Est,-0.33210785816945365
Growth 5yr Low Est,-0.14368676072163059
Growth 5yr High Est,0.04161675742854393
Growth 5yr Consensus Est,-0.05103500164654333
Growth 5yr Actual/Est,-0.04314756730552402
Growth 3yr Historic,0.10097864768683273
Price/Earnings (TTM),51.42722
Price/Sales (TTM),1.775
Price/Book (MRQ),2.04671
Price/Cash Flow (TTM),17.50941
5yr Low,39.75
5yr High,187.29
5yr Avg Return,0.1365333333333333
EPS Growth 5yr,0.4373782
Revenue Growth 5yr,0.1021997
Dividend Growth 5yr,
Short Int Current Month,3178221.0
Short Int Prev Month,3283090.0
Short Int Pct of Float,0.0722544
Days to Cover,2.1945
Float,44.02529
Shares Outstanding,44.64984
Institutions Holding Shares,494.0
FCF Growth 5yr,-0.19437206730437095
"Price/Earnings (TTM, GAAP)",51.43
"PEG Ratio (TTM, GAAP)",3.62
Gross Profit Margin (TTM),0.47130000000000005
Operating Profit Margin (TTM),0.0364
Net Profit Margin (TTM),0.0367
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.8674
EPS Growth (TTM),-0.4105
Revenue Growth (MRQ),0.050300000000000004
Revenue Growth (TTM),0.22340000000000002
Return On Equity (TTM),0.042800000000000005
Return On Assets (TTM),0.0227
Return On Investment (TTM),0.0273
Revenue Per Employee (TTM),344555.0
Total Debt/Total Capital (MRQ),0.3326
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),1.86
Interest Coverage (MRQ),17.65
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-21 00:00:00
theStreet since,2022-05-18 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
