,RGA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.0,19.61,Valuation,0.8669046404895462
Price/Sales (TTM),0.59,2.33,Valuation,0.25321888412017163
Price/Book (MRQ),2.61,3.82,Valuation,0.6832460732984293
"PEG Ratio (TTM, GAAP)",0.12,37.63,Valuation,0.00318894499069891
Gross Profit Margin (TTM),,0.0226,Profitability,
Operating Profit Margin (TTM),0.04190000000000001,0.1298,Profitability,0.3228043143297381
Net Profit Margin (TTM),0.0356,0.10460000000000001,Profitability,0.3403441682600382
Annual Dividend Yield,0.022400000000000003,0.0168,Dividend,1.3333333333333337
Dividend Change %,0.021400000000000002,-0.0075,Dividend,-2.853333333333334
"Dividend Growth Rate, 3 Years",0.09140000000000001,0.0225,Dividend,4.062222222222223
EPS Growth (MRQ),0.4343,-0.0779,Gowth rates,-5.575096277278563
EPS Growth (TTM),-0.0278,-0.005200000000000001,Gowth rates,5.346153846153845
Revenue Growth (MRQ),0.0466,0.0897,Gowth rates,0.5195094760312152
Revenue Growth (TTM),-0.0022,0.042800000000000005,Gowth rates,-0.0514018691588785
Return On Equity (TTM),0.0695,0.3775,Effectiveness,0.18410596026490067
Return On Assets (TTM),0.006600000000000001,0.031200000000000002,Effectiveness,0.21153846153846156
Return On Investment (TTM),,0.035,Effectiveness,
Revenue Per Employee (TTM),4632000.0,1261907.0,Effectiveness,3.6706349992511336
Total Debt/Total Capital (MRQ),0.5292,0.4026,Financial strength,1.3144560357675112
Change in Debt/Total Capital Quarter over Quarter,0.0033000000000000004,0.002,Financial strength,1.6500000000000001
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),19.29,10.79,Financial strength,1.787766450417053
