,RGA
% Below High,0.048499999999999995
% Held by Institutions,0.9793000000000001
52-Wk Range,['94.32 - 148.75']
Annual Dividend $,3.2
Annual Dividend %,0.022400000000000003
Ask,141.68
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.9
Bid,141.47
Bid Size,200.0
Day Change $,-1.32
Day Change %,-0.0092
Day High,142.51
Day Low,141.54
Dividend Pay Date,2022-11-29 00:00:00
"EPS (TTM, GAAP)",8.4
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.335
Last (size),10.0
Last (time),12:32p ET 11/28/22
Market Cap,9.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.0
Prev Close,142.86
Price,141.54
Short Interest,0.0103
Today's Open,141.79
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,1.1217008797653958
Growth 1yr High Est,0.9275362318840583
Growth 1yr Consensus Est,1.024618555824727
Growth 2yr Low Est,0.5687979174224352
Growth 2yr High Est,0.48381824125531236
Growth 2yr Consensus Est,0.5263080793388738
Growth 5yr Low Est,0.16069525500751392
Growth 5yr High Est,0.1431143799410236
Growth 5yr Consensus Est,0.15190481747426873
Growth 5yr Actual/Est,2.786750729273991
Growth 3yr Historic,-0.32133465462601457
Price/Earnings (TTM),17.00255
Price/Sales (TTM),0.58896
Price/Book (MRQ),2.61344
Price/Cash Flow (TTM),
5yr Low,55.39
5yr High,169.26
5yr Avg Return,-0.006533333333333336
EPS Growth 5yr,-0.034966699999999996
Revenue Growth 5yr,0.0728557
Dividend Growth 5yr,0.1288813
Short Int Current Month,684451.0
Short Int Prev Month,842374.0
Short Int Pct of Float,0.0102776
Days to Cover,1.01854
Float,66.62058
Shares Outstanding,66.836
Institutions Holding Shares,550.0
FCF Growth 5yr,1.0342271134904448
"Price/Earnings (TTM, GAAP)",17.0
"PEG Ratio (TTM, GAAP)",0.12
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.04190000000000001
Net Profit Margin (TTM),0.0356
Annual Dividend Yield,0.022400000000000003
Dividend Change %,0.021400000000000002
"Dividend Growth Rate, 3 Years",0.09140000000000001
EPS Growth (MRQ),0.4343
EPS Growth (TTM),-0.0278
Revenue Growth (MRQ),0.0466
Revenue Growth (TTM),-0.0022
Return On Equity (TTM),0.0695
Return On Assets (TTM),0.006600000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),4632000.0
Total Debt/Total Capital (MRQ),0.5292
Change in Debt/Total Capital Quarter over Quarter,0.0033000000000000004
Quick Ratio (MRQ),
Interest Coverage (MRQ),19.29
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2022-11-04 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
