,WAL
Price/Earnings (TTM),7.49823
Price/Sales (TTM),3.17931
Price/Book (MRQ),1.6151
Price/Cash Flow (TTM),7.32913
5yr Low,20.9
5yr High,124.93
5yr Avg Return,0.09745
EPS Growth 5yr,0.2822151
Revenue Growth 5yr,0.18814979999999998
Dividend Growth 5yr,
Short Int Current Month,1492654.0
Short Int Prev Month,1486748.0
Short Int Pct of Float,0.0141047
Days to Cover,2.04247
Float,105.8423
Shares Outstanding,108.9121
Institutions Holding Shares,478.0
% Held by Institutions,0.8589319999999999
FCF Growth 5yr,-0.06422282475108314
