,WAL
% Above Low,0.2107
% Held by Institutions,0.8589
52-Wk Range,['54.86 - 124.93']
Annual Dividend $,1.44
Annual Dividend %,0.020499999999999997
Ask,86.48
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.4
Bid,43.93
Bid Size,200.0
Closing Price,66.42
Day Change $,-3.66
Day Change %,-0.052199999999999996
Day High,69.3
Day Low,66.29
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",9.35
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.44700000000000006
Last (size),20500.0
Last (time),7:00p ET 11/28/22
Market Cap,7.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.5
Prev Close,70.08
Short Interest,0.0141
Today's Open,68.94
Volume,591438.0
Volume 10-day Avg,719118.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.12971698113207553
Growth 1yr High Est,0.12371134020618557
Growth 1yr Consensus Est,0.12671416066913055
Growth 2yr Low Est,0.050244711860401026
Growth 2yr High Est,0.17602488518973902
Growth 2yr Consensus Est,0.11313479852507002
Growth 5yr Low Est,0.22143814540388473
Growth 5yr High Est,0.2880124425948696
Growth 5yr Consensus Est,0.25472529399937716
Growth 5yr Actual/Est,0.25307681752414607
Growth 3yr Historic,0.1903901023219205
Price/Earnings (TTM),7.49823
Price/Sales (TTM),3.17931
Price/Book (MRQ),1.6151
Price/Cash Flow (TTM),7.32913
5yr Low,20.9
5yr High,124.93
5yr Avg Return,0.09745
EPS Growth 5yr,0.2822151
Revenue Growth 5yr,0.18814979999999998
Dividend Growth 5yr,
Short Int Current Month,1492654.0
Short Int Prev Month,1486748.0
Short Int Pct of Float,0.0141047
Days to Cover,2.04247
Float,105.8423
Shares Outstanding,108.9121
Institutions Holding Shares,478.0
FCF Growth 5yr,-0.06422282475108314
"Price/Earnings (TTM, GAAP)",7.5
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5254
Net Profit Margin (TTM),0.4208
Annual Dividend Yield,0.020499999999999997
Dividend Change %,0.2
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0129
EPS Growth (TTM),0.1297
Revenue Growth (MRQ),0.2757
Revenue Growth (TTM),0.5175
Return On Equity (TTM),0.223
Return On Assets (TTM),0.0166
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0018
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-05-06 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
marketEdge opinion since,
