,CSX
% Above Low,0.2411
% Held by Institutions,0.738
52-Wk Range,['25.80 - 38.63']
Annual Dividend $,0.4
Annual Dividend %,0.0125
Ask,32.28
Ask Size,200.0
B/A Ratio,3.0
B/A Size,600x200
Beta,1.2
Bid,31.82
Bid Size,600.0
Closing Price,32.02
Day Change $,-0.05
Day Change %,-0.0016
Day High,32.34
Day Low,31.99
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.88
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.28500000000000003
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,67.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.03
Prev Close,32.07
Short Interest,0.0102
Today's Open,32.28
Volume,5838389.0
Volume 10-day Avg,13715925.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,0.2348993288590604
Growth 1yr High Est,0.2292993630573248
Growth 1yr Consensus Est,0.2320993459581926
Growth 2yr Low Est,0.06581922964692144
Growth 2yr High Est,0.1457377644302168
Growth 2yr Consensus Est,0.10577849703856912
Growth 5yr Low Est,-0.14548297838306476
Growth 5yr High Est,-0.10709998295200304
Growth 5yr Consensus Est,-0.1262914806675339
Growth 5yr Actual/Est,0.09432544606809887
Growth 3yr Historic,0.03787383316487311
Price/Earnings (TTM),17.02856
Price/Sales (TTM),4.62674
Price/Book (MRQ),5.22762
Price/Cash Flow (TTM),12.13176
5yr Low,15.6
5yr High,38.63
5yr Avg Return,0.12301666666666668
EPS Growth 5yr,0.22723600000000002
Revenue Growth 5yr,0.0249745
Dividend Growth 5yr,0.0921875
Short Int Current Month,21429271.0
Short Int Prev Month,20758839.0
Short Int Pct of Float,0.010219100000000002
Days to Cover,1.45838
Float,2098.189
Shares Outstanding,2102.409
Institutions Holding Shares,1846.0
FCF Growth 5yr,0.23592519243442941
"Price/Earnings (TTM, GAAP)",17.03
"PEG Ratio (TTM, GAAP)",1.51
Gross Profit Margin (TTM),0.7162999999999999
Operating Profit Margin (TTM),0.40759999999999996
Net Profit Margin (TTM),0.2805
Annual Dividend Yield,0.0125
Dividend Change %,0.076
"Dividend Growth Rate, 3 Years",0.0834
EPS Growth (MRQ),-0.0405
EPS Growth (TTM),0.18460000000000001
Revenue Growth (MRQ),0.021
Revenue Growth (TTM),0.2206
Return On Equity (TTM),0.3136
Return On Assets (TTM),0.09910000000000001
Return On Investment (TTM),0.1052
Revenue Per Employee (TTM),696172.0
Total Debt/Total Capital (MRQ),0.5835
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),1.57
Interest Coverage (MRQ),8.05
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-21 00:00:00
cfra since,2022-10-11 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2009-06-17 00:00:00
