,OLED
% Above Low,0.227
% Held by Institutions,0.7611
52-Wk Range,['89.41 - 178.75']
Annual Dividend $,1.2
Annual Dividend %,0.0109
Ask,122.22
Ask Size,100.0
Ask close,116.23
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,105.0
Bid Size,100.0
Bid close,102.08
Change Since Close,-0.71| |(-0.65%)
Closing Price,109.71
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",4.0
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.55
Last (size),5.0
Last (time),1:00p ET 11/25/22
Last Trade,109.0
Market Cap,5.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.44
Prev Close,109.71
Short Interest,0.024
Today's Open,
Volume,38.0
Volume 10-day Avg,292692.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.04289544235924936
Growth 1yr High Est,0.0
Growth 1yr Consensus Est,0.02144772117962468
Growth 2yr Low Est,0.020162374135922867
Growth 2yr High Est,0.05134474327628358
Growth 2yr Consensus Est,0.03575355870610322
Growth 5yr Low Est,0.020162374135922867
Growth 5yr High Est,0.05134474327628358
Growth 5yr Consensus Est,0.03575355870610322
Growth 5yr Actual/Est,0.10429187515619251
Growth 3yr Historic,0.0852617416829746
Price/Earnings (TTM),27.4404
Price/Sales (TTM),8.72689
Price/Book (MRQ),4.32948
Price/Cash Flow (TTM),22.10634
5yr Low,78.75
5yr High,262.77
5yr Avg Return,0.03456666666666668
EPS Growth 5yr,0.3020188
Revenue Growth 5yr,0.2271753
Dividend Growth 5yr,
Short Int Current Month,1042150.0
Short Int Prev Month,1370961.0
Short Int Pct of Float,0.0239894
Days to Cover,1.99208
Float,43.44282
Shares Outstanding,47.23656
Institutions Holding Shares,500.0
FCF Growth 5yr,0.06489368514910043
"Price/Earnings (TTM, GAAP)",27.44
"PEG Ratio (TTM, GAAP)",3.06
Gross Profit Margin (TTM),0.7797000000000001
Operating Profit Margin (TTM),0.405
Net Profit Margin (TTM),0.32130000000000003
Annual Dividend Yield,0.010900000000000002
Dividend Change %,0.3333
"Dividend Growth Rate, 3 Years",0.4938
EPS Growth (MRQ),0.28809999999999997
EPS Growth (TTM),-0.0091
Revenue Growth (MRQ),0.1757
Revenue Growth (TTM),0.08199999999999999
Return On Equity (TTM),0.16890000000000002
Return On Assets (TTM),0.129
Return On Investment (TTM),0.1445
Revenue Per Employee (TTM),1480883.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),5.77
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-05 00:00:00
theStreet since,2021-12-14 00:00:00
cfra since,2022-08-05 00:00:00
ford since,2022-05-06 00:00:00
marketEdge opinion since,
