,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,49.55,112.22,138.65,181.07,102.85,,,,,
low,27.04,33.7,55.9,85.41,27.65,,,,,
change,0.3546,1.1028,0.6399,-0.226,-0.4833,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,492.0,574.0,215.0,158.0,Balance Sheet
Short Term Investments,,,,,,441.0,389.0,639.0,800.0,Balance Sheet
Cash and Short Term Invs,,,,,,933.0,962.0,854.0,958.0,Balance Sheet
"Total Receivables, Net",,,,,,98.0,84.0,95.0,86.0,Balance Sheet
Total Inventory,,,,,,31.0,37.0,60.0,63.0,Balance Sheet
Prepaid Expenses,,,,,,53.0,30.0,28.0,24.0,Balance Sheet
Total Current Assets,,,,,,1114.0,1113.0,1037.0,1131.0,Balance Sheet
Buildings,,,,,,39.0,75.0,96.0,99.0,Balance Sheet
Machinery/Equipment,,,,,,81.0,93.0,105.0,118.0,Balance Sheet
Construction in Progress,,,,,,56.0,37.0,24.0,20.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,193.0,196.0,192.0,187.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,369.0,401.0,417.0,425.0,Balance Sheet
Accumulated Depreciation,,,,,,-55.0,-61.0,-70.0,-79.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,314.0,340.0,347.0,347.0,Balance Sheet
"Goodwill, Gross",,,,,,,3.0,3.0,3.0,Balance Sheet
Accum. Goodwill Amort.,,,,,,,0.0,0.0,0.0,Balance Sheet
"Goodwill, Net",,,,,,3.0,3.0,3.0,3.0,Balance Sheet
Intangibles - Gross,,,,,,19.0,19.0,19.0,19.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-4.0,-5.0,-5.0,-6.0,Balance Sheet
Intangibles - Net,,,,,,14.0,14.0,13.0,12.0,Balance Sheet
Long Term Investments,,,,,,698.0,588.0,383.0,157.0,Balance Sheet
Other Long Term Assets,,,,,,61.0,71.0,70.0,51.0,Balance Sheet
Total Assets,,,,,,2204.0,2130.0,1854.0,1702.0,Balance Sheet
Accounts Payable,,,,,,18.0,32.0,37.0,41.0,Balance Sheet
Accrued Expenses,,,,,,84.0,104.0,113.0,117.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,,11.0,11.0,15.0,13.0,Balance Sheet
Income Taxes Payable,,,,,,4.0,4.0,3.0,4.0,Balance Sheet
Other Current Liabilities,,,,,,78.0,78.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,94.0,93.0,18.0,17.0,Balance Sheet
Total Current Liabilities,,,,,,195.0,229.0,168.0,175.0,Balance Sheet
Total Long Term Debt,,,,,,1135.0,1135.0,1136.0,1137.0,Balance Sheet
Total Debt,,,,,,1135.0,1135.0,1136.0,1137.0,Balance Sheet
Minority Interest,,,,,,0.0,,,,Balance Sheet
"Other Liabilities, Total",,,,,,230.0,232.0,231.0,223.0,Balance Sheet
Total Liabilities,,,,,,1559.0,1597.0,1535.0,1535.0,Balance Sheet
Redeemable Preferred Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,1658.0,1682.0,1704.0,1716.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-1008.0,-1131.0,-1360.0,-1522.0,Balance Sheet
Unrealized Gain (Loss),,,,,,-5.0,-18.0,-24.0,-27.0,Balance Sheet
Total Equity,,,,,,645.0,533.0,319.0,167.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,2204.0,2130.0,1854.0,1702.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,100.0,102.0,102.0,102.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,108108.0,96099.0,109144.0,117404.0,Income Statement
"Cost of Revenue, Total",,,,,,33422.0,31981.0,36727.0,40496.0,Income Statement
Selling/Gen/Admin Expense,,,,,,79795.0,87407.0,99070.0,109212.0,Income Statement
