,GH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.13,Valuation,
Price/Sales (TTM),12.25,1.32,Valuation,9.28030303030303
Price/Book (MRQ),31.64,4.31,Valuation,7.341067285382832
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.6689,0.1318,Profitability,5.075113808801214
Operating Profit Margin (TTM),-1.0945,0.0458,Profitability,-23.897379912663755
Net Profit Margin (TTM),-1.3626,0.0242,Profitability,-56.30578512396694
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),0.2956,-0.1478,Gowth rates,-2.0
EPS Growth (TTM),-0.46640000000000004,-1.101,Gowth rates,0.4236148955495005
Revenue Growth (MRQ),0.0757,0.0931,Gowth rates,0.8131041890440387
Revenue Growth (TTM),0.2527,0.1191,Gowth rates,2.121746431570109
Return On Equity (TTM),-1.3822999999999999,7.2022,Effectiveness,-0.1919274666074255
Return On Assets (TTM),-0.2989,0.0403,Effectiveness,-7.416873449131513
Return On Investment (TTM),-0.327,0.016,Effectiveness,-20.4375
Revenue Per Employee (TTM),313733.0,1375304.0,Effectiveness,0.22811901950405147
Total Debt/Total Capital (MRQ),0.8721,0.4855,Financial strength,1.796292481977343
Change in Debt/Total Capital Quarter over Quarter,0.0031,0.0015,Financial strength,2.0666666666666664
Quick Ratio (MRQ),6.1,0.31,Financial strength,19.677419354838708
Interest Coverage (MRQ),,9.55,Financial strength,
