,GH
% Above Low,0.8633
% Held by Institutions,0.919
52-Wk Range,['27.65 - 111.48']
Annual Dividend $,
Annual Dividend %,
Ask,53.0
Ask Size,200.0
B/A Ratio,6.5
B/A Size,1300x200
Beta,0.6
Bid,51.75
Bid Size,1300.0
Closing Price,51.52
Day Change $,1.45
Day Change %,0.028999999999999998
Day High,51.56
Day Low,49.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.94
Ex-dividend Date,No dividend
Historical Volatility,0.867
Last (size),18.0
Last (time),1:00p ET 11/25/22
Market Cap,5.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,50.07
Short Interest,0.0432
Today's Open,49.71
Volume,375309.0
Volume 10-day Avg,969843.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,5.916666666666667
Growth 1yr High Est,5.166666666666667
Growth 1yr Consensus Est,5.541666666666667
Growth 2yr Low Est,2.893574297188755
Growth 2yr High Est,2.5051480051480053
Growth 2yr Consensus Est,2.69936115116838
Growth 5yr Low Est,1.4467871485943775
Growth 5yr High Est,1.2525740025740026
Growth 5yr Consensus Est,1.34968057558419
Growth 5yr Actual/Est,0.7568411128623094
Growth 3yr Historic,0.6584249084249084
Price/Earnings (TTM),
Price/Sales (TTM),12.25177
Price/Book (MRQ),31.64323
Price/Cash Flow (TTM),
5yr Low,27.04
5yr High,181.07
5yr Avg Return,0.2776
EPS Growth 5yr,
Revenue Growth 5yr,0.7141344
Dividend Growth 5yr,
Short Int Current Month,4212119.0
Short Int Prev Month,3988540.0
Short Int Pct of Float,0.0431536
Days to Cover,2.84941
Float,97.6314
Shares Outstanding,102.4362
Institutions Holding Shares,440.0
FCF Growth 5yr,0.7695547341363413
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6689
Operating Profit Margin (TTM),-1.0945
Net Profit Margin (TTM),-1.3626
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2956
EPS Growth (TTM),-0.46640000000000004
Revenue Growth (MRQ),0.0757
Revenue Growth (TTM),0.2527
Return On Equity (TTM),-1.3822999999999999
Return On Assets (TTM),-0.2989
Return On Investment (TTM),-0.327
Revenue Per Employee (TTM),313733.0
Total Debt/Total Capital (MRQ),0.8721
Change in Debt/Total Capital Quarter over Quarter,0.0031
Quick Ratio (MRQ),6.1
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2021-12-28 00:00:00
researchTeam since,2021-12-28 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-03-21 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
