,SPWH
% Above Low,0.2884
% Held by Institutions,0.9668000000000001
52-Wk Range,['7.75 - 17.37']
Annual Dividend $,
Annual Dividend %,
Ask,10.0
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,0.8
Bid,9.97
Bid Size,200.0
Day Change $,0.175
Day Change %,0.0178
Day High,10.09
Day Low,9.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.19
Ex-dividend Date,No dividend
Historical Volatility,0.557
Last (size),11.0
Last (time),3:07p ET 11/28/22
Market Cap,388.7M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.48
Prev Close,9.81
Price,9.99
Short Interest,0.1229
Today's Open,9.8
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-07 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.4
Growth 1yr High Est,-0.31360946745562135
Growth 1yr Consensus Est,-0.3568047337278107
Growth 2yr Low Est,-0.15454545454545449
Growth 2yr High Est,0.0242297490308101
Growth 2yr Consensus Est,-0.0651578527573222
Growth 5yr Low Est,0.6102272727272728
Growth 5yr High Est,0.6805931353849702
Growth 5yr Consensus Est,0.6454102040561215
Growth 5yr Actual/Est,0.8499391414351979
Growth 3yr Historic,0.8789953248735808
Price/Earnings (TTM),4.48465
Price/Sales (TTM),0.25801
Price/Book (MRQ),1.36245
Price/Cash Flow (TTM),2.63011
5yr Low,3.41
5yr High,18.46
5yr Avg Return,0.25049999999999994
EPS Growth 5yr,0.2837855
Revenue Growth 5yr,0.14065709999999998
Dividend Growth 5yr,
Short Int Current Month,4671066.0
Short Int Prev Month,4856245.0
Short Int Pct of Float,0.122924
Days to Cover,12.2098
Float,37.99801
Shares Outstanding,38.86804
Institutions Holding Shares,176.0
FCF Growth 5yr,-0.48871854287609756
"Price/Earnings (TTM, GAAP)",4.48
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.32670000000000005
Operating Profit Margin (TTM),0.0889
Net Profit Margin (TTM),0.06559999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),6.666
EPS Growth (TTM),0.1082
Revenue Growth (MRQ),0.1341
Revenue Growth (TTM),-0.023100000000000002
Return On Equity (TTM),0.37820000000000004
Return On Assets (TTM),0.1201
Return On Investment (TTM),0.1943
Revenue Per Employee (TTM),447827.0
Total Debt/Total Capital (MRQ),0.2629
Change in Debt/Total Capital Quarter over Quarter,0.0129
Quick Ratio (MRQ),0.09
Interest Coverage (MRQ),28.39
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-02-10 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
