,YETI
% Above Low,0.4806
% Held by Institutions,0.9455
52-Wk Range,['27.86 - 98.58']
Annual Dividend $,
Annual Dividend %,
Ask,41.6
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,2.5
Bid,39.22
Bid Size,100.0
Closing Price,41.25
Day Change $,0.4
Day Change %,0.0098
Day High,41.39
Day Low,40.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.17
Ex-dividend Date,No dividend
Historical Volatility,0.649
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,3.6B
"P/E Ratio (TTM, GAAP)",18.84
Prev Close,40.85
Short Interest,0.0859
Today's Open,40.23
Volume,928666.0
Volume 10-day Avg,1491495.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.0717131474103585
Growth 1yr High Est,-0.04313725490196074
Growth 1yr Consensus Est,-0.05742520115615962
Growth 2yr Low Est,0.022083340457910827
Growth 2yr High Est,0.11162809386049505
Growth 2yr Consensus Est,0.06685571715920294
Growth 5yr Low Est,0.022083340457910827
Growth 5yr High Est,0.11162809386049505
Growth 5yr Consensus Est,0.06685571715920294
Growth 5yr Actual/Est,0.2632890271873101
Growth 3yr Historic,0.23316622103386814
Price/Earnings (TTM),18.83608
Price/Sales (TTM),2.21538
Price/Book (MRQ),6.39811
Price/Cash Flow (TTM),15.49043
5yr Low,12.4
5yr High,108.82
5yr Avg Return,0.3785
EPS Growth 5yr,0.33120849999999996
Revenue Growth 5yr,0.11495430000000001
Dividend Growth 5yr,
Short Int Current Month,7388646.0
Short Int Prev Month,7512897.0
Short Int Pct of Float,0.0859291
Days to Cover,3.80146
Float,85.97816
Shares Outstanding,86.24811
Institutions Holding Shares,463.0
FCF Growth 5yr,-0.695030257895812
"Price/Earnings (TTM, GAAP)",18.84
"PEG Ratio (TTM, GAAP)",3.21
Gross Profit Margin (TTM),0.5352
Operating Profit Margin (TTM),0.1659
Net Profit Margin (TTM),0.11970000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.015500000000000002
EPS Growth (TTM),-0.049800000000000004
Revenue Growth (MRQ),0.0322
Revenue Growth (TTM),0.18359999999999999
Return On Equity (TTM),0.38439999999999996
Return On Assets (TTM),0.1973
Return On Investment (TTM),0.2876
Revenue Per Employee (TTM),1932383.0
Total Debt/Total Capital (MRQ),0.1565
Change in Debt/Total Capital Quarter over Quarter,-0.0022
Quick Ratio (MRQ),0.74
Interest Coverage (MRQ),45.8
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-12-23 00:00:00
theStreet since,2022-05-06 00:00:00
ford since,2021-12-23 00:00:00
cfra since,
marketEdge opinion since,
