,YETI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",18.84,71.6,Valuation,0.26312849162011176
Price/Sales (TTM),2.22,1.12,Valuation,1.9821428571428572
Price/Book (MRQ),6.4,4.04,Valuation,1.5841584158415842
"PEG Ratio (TTM, GAAP)",3.21,2.17,Valuation,1.4792626728110598
Gross Profit Margin (TTM),0.5352,0.4144,Profitability,1.2915057915057915
Operating Profit Margin (TTM),0.1659,0.0529,Profitability,3.136105860113421
Net Profit Margin (TTM),0.11970000000000001,0.0173,Profitability,6.919075144508672
Annual Dividend Yield,,0.0165,Dividend,
Dividend Change %,,0.08750000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0415,Dividend,
EPS Growth (MRQ),-0.015500000000000002,0.1759,Gowth rates,-0.08811824900511656
EPS Growth (TTM),-0.049800000000000004,-0.3306,Gowth rates,0.15063520871143377
Revenue Growth (MRQ),0.0322,0.06280000000000001,Gowth rates,0.5127388535031846
Revenue Growth (TTM),0.18359999999999999,0.1151,Gowth rates,1.5951346655082537
Return On Equity (TTM),0.38439999999999996,0.0245,Effectiveness,15.689795918367345
Return On Assets (TTM),0.1973,0.0403,Effectiveness,4.895781637717121
Return On Investment (TTM),0.2876,0.0563,Effectiveness,5.108348134991119
Revenue Per Employee (TTM),1932383.0,596566.0,Effectiveness,3.239177224313823
Total Debt/Total Capital (MRQ),0.1565,0.4744,Financial strength,0.3298903878583474
Change in Debt/Total Capital Quarter over Quarter,-0.0022,0.0019,Financial strength,-1.1578947368421053
Quick Ratio (MRQ),0.74,1.03,Financial strength,0.7184466019417476
Interest Coverage (MRQ),45.8,16.69,Financial strength,2.7441581785500295
